Train Episode: 501	Loss: 0.423103	Accuracy: 0.870	Current Training Data Per Class: 74
Train Episode: 502	Loss: 0.904521	Accuracy: 0.645	Current Training Data Per Class: 40
Train Episode: 503	Loss: 1.192140	Accuracy: 0.600	Current Training Data Per Class: 30
Train Episode: 504	Loss: 2.033441	Accuracy: 0.195	Current Training Data Per Class: 33
Train Episode: 505	Loss: 1.742960	Accuracy: 0.200	Current Training Data Per Class: 57
Train Episode: 506	Loss: 1.867256	Accuracy: 0.300	Current Training Data Per Class: 39
Train Episode: 507	Loss: 2.134713	Accuracy: 0.300	Current Training Data Per Class: 36
Train Episode: 508	Loss: 2.398521	Accuracy: 0.100	Current Training Data Per Class: 53
Train Episode: 509	Loss: 2.091376	Accuracy: 0.300	Current Training Data Per Class: 42
Train Episode: 510	Loss: 1.862923	Accuracy: 0.300	Current Training Data Per Class: 35
Train Episode: 511	Loss: 2.077886	Accuracy: 0.100	Current Training Data Per Class: 67
Train Episode: 512	Loss: 2.193172	Accuracy: 0.200	Current Training Data Per Class: 41
Train Episode: 513	Loss: 1.575224	Accuracy: 0.200	Current Training Data Per Class: 34
Train Episode: 514	Loss: 1.751745	Accuracy: 0.200	Current Training Data Per Class: 67
Train Episode: 515	Loss: 1.972986	Accuracy: 0.300	Current Training Data Per Class: 43
Train Episode: 516	Loss: 2.076389	Accuracy: 0.200	Current Training Data Per Class: 47
Train Episode: 517	Loss: 1.889366	Accuracy: 0.200	Current Training Data Per Class: 77
Train Episode: 518	Loss: 2.112840	Accuracy: 0.300	Current Training Data Per Class: 57
