Train Episode: 1	Loss: 3.840290	Accuracy: 0.000	MetaParam_1: 0.001000	MetaParam_2: 0.000000	MetaParam_3: 0.000000
Train Episode: 2	Loss: 2.038889	Accuracy: 0.200	MetaParam_1: 0.002000	MetaParam_2: -0.001000	MetaParam_3: 0.001000
Train Episode: 3	Loss: 1.589604	Accuracy: 0.400	MetaParam_1: 0.002788	MetaParam_2: -0.001754	MetaParam_3: 0.001749
Train Episode: 4	Loss: 1.738848	Accuracy: 0.200	MetaParam_1: 0.003668	MetaParam_2: -0.002571	MetaParam_3: 0.002404
Train Episode: 5	Loss: 1.625107	Accuracy: 0.200	MetaParam_1: 0.004474	MetaParam_2: -0.003419	MetaParam_3: 0.002862
Train Episode: 6	Loss: 1.634625	Accuracy: 0.220	MetaParam_1: 0.005150	MetaParam_2: -0.004223	MetaParam_3: 0.003363
Train Episode: 7	Loss: 1.854279	Accuracy: 0.200	MetaParam_1: 0.005765	MetaParam_2: -0.004977	MetaParam_3: 0.003847
Train Episode: 8	Loss: 1.371075	Accuracy: 0.340	MetaParam_1: 0.006456	MetaParam_2: -0.005790	MetaParam_3: 0.004110
Train Episode: 9	Loss: 1.423632	Accuracy: 0.380	MetaParam_1: 0.007106	MetaParam_2: -0.006646	MetaParam_3: 0.004455
Train Episode: 10	Loss: 1.575316	Accuracy: 0.360	MetaParam_1: 0.007691	MetaParam_2: -0.007480	MetaParam_3: 0.004784
Train Episode: 11	Loss: 1.226231	Accuracy: 0.580	MetaParam_1: 0.008147	MetaParam_2: -0.008251	MetaParam_3: 0.005186
Train Episode: 12	Loss: 1.621455	Accuracy: 0.260	MetaParam_1: 0.008595	MetaParam_2: -0.009083	MetaParam_3: 0.005690
Train Episode: 13	Loss: 1.260417	Accuracy: 0.480	MetaParam_1: 0.009043	MetaParam_2: -0.009909	MetaParam_3: 0.006172
Train Episode: 14	Loss: 0.914610	Accuracy: 0.700	MetaParam_1: 0.009489	MetaParam_2: -0.010757	MetaParam_3: 0.006663
Train Episode: 15	Loss: 1.445569	Accuracy: 0.460	MetaParam_1: 0.009911	MetaParam_2: -0.011614	MetaParam_3: 0.007165
