Train Episode: 1	Loss: 1.555760	Accuracy: 0.210	 Current training data: 30
Train Episode: 2	Loss: 1.331384	Accuracy: 0.630	 Current training data: 30
Train Episode: 3	Loss: 1.154964	Accuracy: 0.440	 Current training data: 30
Train Episode: 4	Loss: 0.953852	Accuracy: 0.580	 Current training data: 30
Train Episode: 5	Loss: 1.492559	Accuracy: 0.460	 Current training data: 30
Train Episode: 6	Loss: 1.444113	Accuracy: 0.540	 Current training data: 30
Train Episode: 7	Loss: 1.210676	Accuracy: 0.410	 Current training data: 30
Train Episode: 8	Loss: 1.351295	Accuracy: 0.440	 Current training data: 30
Train Episode: 9	Loss: 1.333966	Accuracy: 0.570	 Current training data: 30
Train Episode: 10	Loss: 1.225682	Accuracy: 0.400	 Current training data: 30
Train Episode: 11	Loss: 1.499041	Accuracy: 0.270	 Current training data: 30
Train Episode: 12	Loss: 1.215351	Accuracy: 0.740	 Current training data: 30
Train Episode: 13	Loss: 1.447160	Accuracy: 0.530	 Current training data: 30
Train Episode: 14	Loss: 1.480876	Accuracy: 0.300	 Current training data: 30
Train Episode: 15	Loss: 1.472274	Accuracy: 0.520	 Current training data: 30
Train Episode: 16	Loss: 1.518571	Accuracy: 0.250	 Current training data: 30
Train Episode: 17	Loss: 1.516415	Accuracy: 0.520	 Current training data: 30
Train Episode: 18	Loss: 1.415698	Accuracy: 0.400	 Current training data: 30
Train Episode: 19	Loss: 1.498255	Accuracy: 0.460	 Current training data: 30
Train Episode: 20	Loss: 1.559252	Accuracy: 0.200	 Current training data: 30
