Train Episode: 1	Loss: 0.695448	Accuracy: 0.475	 Current training data: 60
Train Episode: 2	Loss: 0.701445	Accuracy: 0.500	 Current training data: 60
Train Episode: 3	Loss: 0.749681	Accuracy: 0.500	 Current training data: 60
Train Episode: 4	Loss: 0.690745	Accuracy: 0.500	 Current training data: 60
Train Episode: 5	Loss: 0.710535	Accuracy: 0.500	 Current training data: 60
Train Episode: 6	Loss: 0.700658	Accuracy: 0.500	 Current training data: 60
Train Episode: 7	Loss: 0.687981	Accuracy: 0.525	 Current training data: 60
Train Episode: 8	Loss: 0.693580	Accuracy: 0.500	 Current training data: 60
Train Episode: 9	Loss: 0.702677	Accuracy: 0.500	 Current training data: 60
Train Episode: 10	Loss: 0.717296	Accuracy: 0.500	 Current training data: 60
Train Episode: 11	Loss: 0.728366	Accuracy: 0.500	 Current training data: 60
Train Episode: 12	Loss: 0.699125	Accuracy: 0.500	 Current training data: 60
Train Episode: 13	Loss: 0.704906	Accuracy: 0.500	 Current training data: 60
Train Episode: 14	Loss: 0.723173	Accuracy: 0.500	 Current training data: 60
Train Episode: 15	Loss: 0.698906	Accuracy: 0.425	 Current training data: 60
Train Episode: 16	Loss: 0.727299	Accuracy: 0.500	 Current training data: 60
Train Episode: 17	Loss: 0.701252	Accuracy: 0.500	 Current training data: 60
Train Episode: 18	Loss: 0.707065	Accuracy: 0.500	 Current training data: 60
Train Episode: 19	Loss: 0.765032	Accuracy: 0.500	 Current training data: 60
Train Episode: 20	Loss: 0.679957	Accuracy: 0.550	 Current training data: 60
