Train Episode: 1	Loss: 0.710019	Accuracy: 0.450	 Current training data: 30
Train Episode: 2	Loss: 0.697977	Accuracy: 0.525	 Current training data: 30
Train Episode: 3	Loss: 0.719184	Accuracy: 0.500	 Current training data: 30
Train Episode: 4	Loss: 0.685614	Accuracy: 0.500	 Current training data: 30
Train Episode: 5	Loss: 0.749748	Accuracy: 0.500	 Current training data: 30
Train Episode: 6	Loss: 0.696155	Accuracy: 0.500	 Current training data: 30
Train Episode: 7	Loss: 0.702388	Accuracy: 0.525	 Current training data: 30
Train Episode: 8	Loss: 0.705945	Accuracy: 0.500	 Current training data: 30
Train Episode: 9	Loss: 0.705011	Accuracy: 0.500	 Current training data: 30
Train Episode: 10	Loss: 0.716359	Accuracy: 0.500	 Current training data: 30
Train Episode: 11	Loss: 0.724521	Accuracy: 0.500	 Current training data: 30
Train Episode: 12	Loss: 0.707206	Accuracy: 0.425	 Current training data: 30
Train Episode: 13	Loss: 0.708891	Accuracy: 0.400	 Current training data: 30
Train Episode: 14	Loss: 0.709317	Accuracy: 0.500	 Current training data: 30
Train Episode: 15	Loss: 0.733983	Accuracy: 0.500	 Current training data: 30
Train Episode: 16	Loss: 0.698792	Accuracy: 0.475	 Current training data: 30
Train Episode: 17	Loss: 0.699598	Accuracy: 0.500	 Current training data: 30
Train Episode: 18	Loss: 0.712215	Accuracy: 0.500	 Current training data: 30
Train Episode: 19	Loss: 0.688887	Accuracy: 0.500	 Current training data: 30
Train Episode: 20	Loss: 0.690690	Accuracy: 0.500	 Current training data: 30
