Train Episode: 1	Loss: 0.682427	Accuracy: 0.550	 Current training data: 1
Train Episode: 2	Loss: 0.742576	Accuracy: 0.500	 Current training data: 1
Train Episode: 3	Loss: 0.733981	Accuracy: 0.525	 Current training data: 1
Train Episode: 4	Loss: 0.925808	Accuracy: 0.500	 Current training data: 1
Train Episode: 5	Loss: 0.791728	Accuracy: 0.500	 Current training data: 1
Train Episode: 6	Loss: 0.794054	Accuracy: 0.500	 Current training data: 1
Train Episode: 7	Loss: 0.667311	Accuracy: 0.575	 Current training data: 1
Train Episode: 8	Loss: 0.688188	Accuracy: 0.575	 Current training data: 1
Train Episode: 9	Loss: 0.750523	Accuracy: 0.475	 Current training data: 1
Train Episode: 10	Loss: 0.924638	Accuracy: 0.500	 Current training data: 1
Train Episode: 11	Loss: 0.826550	Accuracy: 0.500	 Current training data: 1
Train Episode: 12	Loss: 0.833529	Accuracy: 0.500	 Current training data: 1
Train Episode: 13	Loss: 0.731609	Accuracy: 0.500	 Current training data: 1
Train Episode: 14	Loss: 0.785318	Accuracy: 0.500	 Current training data: 1
Train Episode: 15	Loss: 0.896685	Accuracy: 0.500	 Current training data: 1
Train Episode: 16	Loss: 0.815350	Accuracy: 0.500	 Current training data: 1
Train Episode: 17	Loss: 0.716140	Accuracy: 0.575	 Current training data: 1
Train Episode: 18	Loss: 0.781420	Accuracy: 0.500	 Current training data: 1
Train Episode: 19	Loss: 0.890917	Accuracy: 0.500	 Current training data: 1
Train Episode: 20	Loss: 0.882671	Accuracy: 0.475	 Current training data: 1
