Train Episode: 1	Loss: 0.648110	Accuracy: 0.650	 Current training data: 60
Train Episode: 2	Loss: 0.800772	Accuracy: 0.525	 Current training data: 60
Train Episode: 3	Loss: 0.611883	Accuracy: 0.675	 Current training data: 60
Train Episode: 4	Loss: 0.622115	Accuracy: 0.600	 Current training data: 60
Train Episode: 5	Loss: 0.605201	Accuracy: 0.700	 Current training data: 60
Train Episode: 6	Loss: 0.748363	Accuracy: 0.525	 Current training data: 60
Train Episode: 7	Loss: 0.606066	Accuracy: 0.625	 Current training data: 60
Train Episode: 8	Loss: 0.805506	Accuracy: 0.550	 Current training data: 60
Train Episode: 9	Loss: 0.787272	Accuracy: 0.525	 Current training data: 60
Train Episode: 10	Loss: 0.654878	Accuracy: 0.625	 Current training data: 60
Train Episode: 11	Loss: 0.616316	Accuracy: 0.675	 Current training data: 60
Train Episode: 12	Loss: 0.554024	Accuracy: 0.700	 Current training data: 60
Train Episode: 13	Loss: 0.525440	Accuracy: 0.775	 Current training data: 60
Train Episode: 14	Loss: 0.629123	Accuracy: 0.625	 Current training data: 60
Train Episode: 15	Loss: 0.615048	Accuracy: 0.675	 Current training data: 60
Train Episode: 16	Loss: 0.669193	Accuracy: 0.575	 Current training data: 60
Train Episode: 17	Loss: 0.812645	Accuracy: 0.500	 Current training data: 60
Train Episode: 18	Loss: 0.612380	Accuracy: 0.675	 Current training data: 60
Train Episode: 19	Loss: 0.726194	Accuracy: 0.625	 Current training data: 60
Train Episode: 20	Loss: 0.534539	Accuracy: 0.775	 Current training data: 60
