Train Episode: 1	Loss: 1.433511	Accuracy: 0.300	 Current training data: 90
Train Episode: 2	Loss: 1.235027	Accuracy: 0.520	 Current training data: 90
Train Episode: 3	Loss: 1.317820	Accuracy: 0.440	 Current training data: 90
Train Episode: 4	Loss: 1.220575	Accuracy: 0.560	 Current training data: 90
Train Episode: 5	Loss: 1.131956	Accuracy: 0.530	 Current training data: 90
Train Episode: 6	Loss: 1.187098	Accuracy: 0.540	 Current training data: 90
Train Episode: 7	Loss: 1.316818	Accuracy: 0.430	 Current training data: 90
Train Episode: 8	Loss: 1.133764	Accuracy: 0.480	 Current training data: 90
Train Episode: 9	Loss: 1.109908	Accuracy: 0.560	 Current training data: 90
Train Episode: 10	Loss: 1.143921	Accuracy: 0.460	 Current training data: 90
Train Episode: 11	Loss: 1.722687	Accuracy: 0.210	 Current training data: 90
Train Episode: 12	Loss: 1.002415	Accuracy: 0.540	 Current training data: 90
Train Episode: 13	Loss: 0.985120	Accuracy: 0.570	 Current training data: 90
Train Episode: 14	Loss: 1.359751	Accuracy: 0.360	 Current training data: 90
Train Episode: 15	Loss: 1.465469	Accuracy: 0.290	 Current training data: 90
Train Episode: 16	Loss: 1.142040	Accuracy: 0.450	 Current training data: 90
Train Episode: 17	Loss: 1.255912	Accuracy: 0.380	 Current training data: 90
Train Episode: 18	Loss: 1.210713	Accuracy: 0.420	 Current training data: 90
Train Episode: 19	Loss: 1.300666	Accuracy: 0.550	 Current training data: 90
Train Episode: 20	Loss: 1.483650	Accuracy: 0.380	 Current training data: 90
