Train Episode: 1	Loss: 1.209737	Accuracy: 0.570	 Current training data: 50
Train Episode: 2	Loss: 1.241108	Accuracy: 0.440	 Current training data: 50
Train Episode: 3	Loss: 1.260805	Accuracy: 0.490	 Current training data: 50
Train Episode: 4	Loss: 1.038141	Accuracy: 0.580	 Current training data: 50
Train Episode: 5	Loss: 1.346986	Accuracy: 0.420	 Current training data: 50
Train Episode: 6	Loss: 1.044406	Accuracy: 0.490	 Current training data: 50
Train Episode: 7	Loss: 1.316744	Accuracy: 0.500	 Current training data: 50
Train Episode: 8	Loss: 1.099379	Accuracy: 0.550	 Current training data: 50
Train Episode: 9	Loss: 1.009946	Accuracy: 0.580	 Current training data: 50
Train Episode: 10	Loss: 1.434908	Accuracy: 0.400	 Current training data: 50
Train Episode: 11	Loss: 1.310606	Accuracy: 0.460	 Current training data: 50
Train Episode: 12	Loss: 1.582919	Accuracy: 0.320	 Current training data: 50
Train Episode: 13	Loss: 0.919878	Accuracy: 0.620	 Current training data: 50
Train Episode: 14	Loss: 1.089809	Accuracy: 0.500	 Current training data: 50
Train Episode: 15	Loss: 1.268834	Accuracy: 0.470	 Current training data: 50
Train Episode: 16	Loss: 0.977206	Accuracy: 0.660	 Current training data: 50
Train Episode: 17	Loss: 1.223244	Accuracy: 0.410	 Current training data: 50
Train Episode: 18	Loss: 1.165939	Accuracy: 0.510	 Current training data: 50
Train Episode: 19	Loss: 1.143349	Accuracy: 0.520	 Current training data: 50
Train Episode: 20	Loss: 1.664147	Accuracy: 0.240	 Current training data: 50
