Train Episode: 1	Loss: 1.653390	Accuracy: 0.350	 Current training data: 10
Train Episode: 2	Loss: 1.750340	Accuracy: 0.310	 Current training data: 10
Train Episode: 3	Loss: 1.297546	Accuracy: 0.410	 Current training data: 10
Train Episode: 4	Loss: 1.421181	Accuracy: 0.400	 Current training data: 10
Train Episode: 5	Loss: 1.725403	Accuracy: 0.570	 Current training data: 10
Train Episode: 6	Loss: 1.754509	Accuracy: 0.280	 Current training data: 10
Train Episode: 7	Loss: 1.424436	Accuracy: 0.400	 Current training data: 10
Train Episode: 8	Loss: 1.661005	Accuracy: 0.460	 Current training data: 10
Train Episode: 9	Loss: 1.819065	Accuracy: 0.320	 Current training data: 10
Train Episode: 10	Loss: 1.379907	Accuracy: 0.400	 Current training data: 10
Train Episode: 11	Loss: 1.678510	Accuracy: 0.280	 Current training data: 10
Train Episode: 12	Loss: 1.775000	Accuracy: 0.250	 Current training data: 10
Train Episode: 13	Loss: 1.799959	Accuracy: 0.320	 Current training data: 10
Train Episode: 14	Loss: 1.702078	Accuracy: 0.360	 Current training data: 10
Train Episode: 15	Loss: 1.683477	Accuracy: 0.370	 Current training data: 10
Train Episode: 16	Loss: 1.653416	Accuracy: 0.330	 Current training data: 10
Train Episode: 17	Loss: 1.677613	Accuracy: 0.240	 Current training data: 10
Train Episode: 18	Loss: 1.697365	Accuracy: 0.320	 Current training data: 10
Train Episode: 19	Loss: 1.739496	Accuracy: 0.240	 Current training data: 10
Train Episode: 20	Loss: 1.671504	Accuracy: 0.540	 Current training data: 10
