Train Episode: 1	Loss: 3.846672	Accuracy: 0.000	Current Training Data Per Class: 67
Train Episode: 2	Loss: 2.336561	Accuracy: 0.200	Current Training Data Per Class: 146
Train Episode: 3	Loss: 2.422156	Accuracy: 0.400	Current Training Data Per Class: 89
Train Episode: 4	Loss: 2.268107	Accuracy: 0.200	Current Training Data Per Class: 53
Train Episode: 5	Loss: 2.000569	Accuracy: 0.200	Current Training Data Per Class: 85
Train Episode: 6	Loss: 2.278749	Accuracy: 0.200	Current Training Data Per Class: 41
Train Episode: 7	Loss: 1.867992	Accuracy: 0.200	Current Training Data Per Class: 79
Train Episode: 8	Loss: 1.786083	Accuracy: 0.200	Current Training Data Per Class: 68
Train Episode: 9	Loss: 1.735619	Accuracy: 0.200	Current Training Data Per Class: 147
Train Episode: 10	Loss: 1.842899	Accuracy: 0.200	Current Training Data Per Class: 41
Train Episode: 11	Loss: 1.807954	Accuracy: 0.200	Current Training Data Per Class: 116
Train Episode: 12	Loss: 1.720497	Accuracy: 0.200	Current Training Data Per Class: 140
Train Episode: 13	Loss: 2.041270	Accuracy: 0.200	Current Training Data Per Class: 34
Train Episode: 14	Loss: 1.887071	Accuracy: 0.200	Current Training Data Per Class: 41
Train Episode: 15	Loss: 1.418514	Accuracy: 0.400	Current Training Data Per Class: 126
