Train Episode: 1	Loss: 47870.574219	Accuracy: 0.320
Train Episode: 2	Loss: 3.847290	Accuracy: 0.000
Train Episode: 3	Loss: 3.771859	Accuracy: 0.200
Train Episode: 4	Loss: 3.836829	Accuracy: 0.200
Train Episode: 5	Loss: 3.855546	Accuracy: 0.000
Train Episode: 6	Loss: 3.893648	Accuracy: 0.000
Train Episode: 7	Loss: 3.865682	Accuracy: 0.000
Train Episode: 8	Loss: 3.872274	Accuracy: 0.000
Train Episode: 9	Loss: 3.856968	Accuracy: 0.000
Train Episode: 10	Loss: 3.897384	Accuracy: 0.000
Train Episode: 11	Loss: 3.861205	Accuracy: 0.200
Train Episode: 12	Loss: 3.882829	Accuracy: 0.200
Train Episode: 13	Loss: 3.879153	Accuracy: 0.000
Train Episode: 14	Loss: 3.843539	Accuracy: 0.200
Train Episode: 15	Loss: 3.854063	Accuracy: 0.200
Train Episode: 16	Loss: 11.085443	Accuracy: 0.200
Train Episode: 17	Loss: 3.827991	Accuracy: 0.200
Train Episode: 18	Loss: 3.861097	Accuracy: 0.000
Train Episode: 19	Loss: 3.982555	Accuracy: 0.140
Train Episode: 20	Loss: 3.861896	Accuracy: 0.000
Train Episode: 21	Loss: 3.863806	Accuracy: 0.180
Train Episode: 22	Loss: 3.817405	Accuracy: 0.200
Train Episode: 23	Loss: 3093.409668	Accuracy: 0.000
Train Episode: 24	Loss: 3.865626	Accuracy: 0.000
Train Episode: 25	Loss: 3.842967	Accuracy: 0.120
Train Episode: 26	Loss: 4.203504	Accuracy: 0.000
Train Episode: 27	Loss: 3.886325	Accuracy: 0.000
Train Episode: 28	Loss: 3.851955	Accuracy: 0.000
Train Episode: 29	Loss: 6.999947	Accuracy: 0.000
Train Episode: 30	Loss: 3.857454	Accuracy: 0.200
Train Episode: 31	Loss: 4.893185	Accuracy: 0.000
Train Episode: 32	Loss: 1306635.500000	Accuracy: 0.000
Train Episode: 33	Loss: 137.712997	Accuracy: 0.080
Train Episode: 34	Loss: 3.883377	Accuracy: 0.000
Train Episode: 35	Loss: 3.891888	Accuracy: 0.000
Train Episode: 36	Loss: 2618.428711	Accuracy: 0.000
Train Episode: 37	Loss: 3.850147	Accuracy: 0.200
Train Episode: 38	Loss: 3.881563	Accuracy: 0.000
Train Episode: 39	Loss: 3.830903	Accuracy: 0.000
Train Episode: 40	Loss: 3.850147	Accuracy: 0.000
Train Episode: 41	Loss: 3.877119	Accuracy: 0.000
Train Episode: 42	Loss: 6.418939	Accuracy: 0.000
Train Episode: 43	Loss: 4.243782	Accuracy: 0.000
Train Episode: 44	Loss: 3.720081	Accuracy: 0.080
Train Episode: 45	Loss: 17365380.000000	Accuracy: 0.000
Train Episode: 46	Loss: 4.186960	Accuracy: 0.000
Train Episode: 47	Loss: 3.850147	Accuracy: 0.000
Train Episode: 48	Loss: 64.089859	Accuracy: 0.000
Train Episode: 49	Loss: 14.662368	Accuracy: 0.000
Train Episode: 50	Loss: 327172.406250	Accuracy: 0.200
Train Episode: 51	Loss: 3.850147	Accuracy: 0.000
Train Episode: 52	Loss: 6735316173979648.000000	Accuracy: 0.000
Train Episode: 53	Loss: 58894988.000000	Accuracy: 0.000
Train Episode: 54	Loss: 3.873013	Accuracy: 0.000
Train Episode: 55	Loss: 427511380967424.000000	Accuracy: 0.000
Train Episode: 56	Loss: 10160063905792.000000	Accuracy: 0.200
Train Episode: 57	Loss: 77932.320312	Accuracy: 0.200
Train Episode: 58	Loss: 329674139893760.000000	Accuracy: 0.200
Train Episode: 59	Loss: 639141092704387072.000000	Accuracy: 0.000
Train Episode: 60	Loss: 3.850147	Accuracy: 0.000
Train Episode: 61	Loss: 3.850147	Accuracy: 0.000
Train Episode: 62	Loss: 3.850147	Accuracy: 0.000
Train Episode: 63	Loss: 3.850147	Accuracy: 0.000
Train Episode: 64	Loss: 246095921152.000000	Accuracy: 0.000
Train Episode: 65	Loss: 2146.087158	Accuracy: 0.200
Train Episode: 66	Loss: 3.850147	Accuracy: 0.000
Train Episode: 67	Loss: 3.850147	Accuracy: 0.000
Train Episode: 68	Loss: 393815517036544.000000	Accuracy: 0.000
Train Episode: 69	Loss: 648622806925312.000000	Accuracy: 0.000
Train Episode: 70	Loss: 3.857986	Accuracy: 0.000
Train Episode: 71	Loss: 3.850147	Accuracy: 0.000
