Runner Episode: 1	Loss: 3.863826	Accuracy: 0.000 	 Current Training Data Per Class: 5
Runner Episode: 2	Loss: 3.858543	Accuracy: 0.000 	 Current Training Data Per Class: 5
Runner Episode: 3	Loss: 3.863404	Accuracy: 0.000 	 Current Training Data Per Class: 5
Runner Episode: 4	Loss: 3.849427	Accuracy: 0.000 	 Current Training Data Per Class: 5
Runner Episode: 5	Loss: 3.854323	Accuracy: 0.000 	 Current Training Data Per Class: 5
Runner Episode: 6	Loss: 3.847410	Accuracy: 0.000 	 Current Training Data Per Class: 5
Runner Episode: 7	Loss: 3.846052	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 8	Loss: 3.847359	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 9	Loss: 3.850887	Accuracy: 0.000 	 Current Training Data Per Class: 5
Runner Episode: 10	Loss: 3.856083	Accuracy: 0.000 	 Current Training Data Per Class: 5
Runner Episode: 11	Loss: 3.845919	Accuracy: 0.000 	 Current Training Data Per Class: 5
Runner Episode: 12	Loss: 3.844172	Accuracy: 0.000 	 Current Training Data Per Class: 5
Runner Episode: 13	Loss: 3.859814	Accuracy: 0.000 	 Current Training Data Per Class: 5
Runner Episode: 14	Loss: 3.852792	Accuracy: 0.000 	 Current Training Data Per Class: 5
Runner Episode: 15	Loss: 3.856975	Accuracy: 0.000 	 Current Training Data Per Class: 5
Runner Episode: 16	Loss: 3.852182	Accuracy: 0.000 	 Current Training Data Per Class: 5
Runner Episode: 17	Loss: 3.863415	Accuracy: 0.000 	 Current Training Data Per Class: 5
Runner Episode: 18	Loss: 3.841500	Accuracy: 0.000 	 Current Training Data Per Class: 5
Runner Episode: 19	Loss: 3.846667	Accuracy: 0.000 	 Current Training Data Per Class: 5
Runner Episode: 20	Loss: 3.855032	Accuracy: 0.000 	 Current Training Data Per Class: 5
