Runner Episode: 1	Loss: 3.856763	Accuracy: 0.000 	 Current Training Data Per Class: 10
Runner Episode: 2	Loss: 3.848529	Accuracy: 0.000 	 Current Training Data Per Class: 10
Runner Episode: 3	Loss: 3.854067	Accuracy: 0.000 	 Current Training Data Per Class: 10
Runner Episode: 4	Loss: 3.838255	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 5	Loss: 3.850945	Accuracy: 0.000 	 Current Training Data Per Class: 10
Runner Episode: 6	Loss: 3.838563	Accuracy: 0.000 	 Current Training Data Per Class: 10
Runner Episode: 7	Loss: 3.841064	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 8	Loss: 3.838552	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 9	Loss: 3.842643	Accuracy: 0.000 	 Current Training Data Per Class: 10
Runner Episode: 10	Loss: 3.847721	Accuracy: 0.000 	 Current Training Data Per Class: 10
Runner Episode: 11	Loss: 3.835194	Accuracy: 0.000 	 Current Training Data Per Class: 10
Runner Episode: 12	Loss: 3.836549	Accuracy: 0.000 	 Current Training Data Per Class: 10
Runner Episode: 13	Loss: 3.849319	Accuracy: 0.000 	 Current Training Data Per Class: 10
Runner Episode: 14	Loss: 3.844551	Accuracy: 0.000 	 Current Training Data Per Class: 10
Runner Episode: 15	Loss: 3.847461	Accuracy: 0.000 	 Current Training Data Per Class: 10
Runner Episode: 16	Loss: 3.842923	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 17	Loss: 3.859829	Accuracy: 0.000 	 Current Training Data Per Class: 10
Runner Episode: 18	Loss: 3.837622	Accuracy: 0.000 	 Current Training Data Per Class: 10
Runner Episode: 19	Loss: 3.838139	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 20	Loss: 3.847717	Accuracy: 0.000 	 Current Training Data Per Class: 10
