Runner Episode: 1	Loss: 3.794698	Accuracy: 0.000 	 Current Training Data Per Class: 170
Runner Episode: 2	Loss: 4.009822	Accuracy: 0.000 	 Current Training Data Per Class: 170
Runner Episode: 3	Loss: 3.787318	Accuracy: 0.040 	 Current Training Data Per Class: 170
Runner Episode: 4	Loss: 3.966488	Accuracy: 0.000 	 Current Training Data Per Class: 170
Runner Episode: 5	Loss: 3.936779	Accuracy: 0.000 	 Current Training Data Per Class: 170
Runner Episode: 6	Loss: 3.983548	Accuracy: 0.000 	 Current Training Data Per Class: 170
Runner Episode: 7	Loss: 3.864012	Accuracy: 0.000 	 Current Training Data Per Class: 170
Runner Episode: 8	Loss: 3.904101	Accuracy: 0.000 	 Current Training Data Per Class: 170
Runner Episode: 9	Loss: 3.953188	Accuracy: 0.000 	 Current Training Data Per Class: 170
Runner Episode: 10	Loss: 3.890285	Accuracy: 0.000 	 Current Training Data Per Class: 170
Runner Episode: 11	Loss: 3.916329	Accuracy: 0.000 	 Current Training Data Per Class: 170
Runner Episode: 12	Loss: 3.884884	Accuracy: 0.000 	 Current Training Data Per Class: 170
Runner Episode: 13	Loss: 3.840415	Accuracy: 0.000 	 Current Training Data Per Class: 170
Runner Episode: 14	Loss: 3.877335	Accuracy: 0.000 	 Current Training Data Per Class: 170
Runner Episode: 15	Loss: 3.887406	Accuracy: 0.000 	 Current Training Data Per Class: 170
Runner Episode: 16	Loss: 3.923419	Accuracy: 0.000 	 Current Training Data Per Class: 170
Runner Episode: 17	Loss: 3.940583	Accuracy: 0.000 	 Current Training Data Per Class: 170
Runner Episode: 18	Loss: 3.930347	Accuracy: 0.000 	 Current Training Data Per Class: 170
Runner Episode: 19	Loss: 3.910996	Accuracy: 0.000 	 Current Training Data Per Class: 170
Runner Episode: 20	Loss: 3.933320	Accuracy: 0.040 	 Current Training Data Per Class: 170
