Train Episode: 1	Loss: nan	Accuracy: 0.000	MetaParam_1: 0.001000	MetaParam_2: 0.000000	MetaParam_3: 0.000000	MetaParam_4: 0.000000	MetaParam_5: 0.000000	MetaParam_6: 0.000000	MetaParam_7: 0.000000	MetaParam_8: 0.000000	MetaParam_9: 0.000000	MetaParam_10: 0.000000	V_1: 1.000000	K_norm: 0.000000
Train Episode: 2	Loss: nan	Accuracy: 0.000	MetaParam_1: nan	MetaParam_2: nan	MetaParam_3: nan	MetaParam_4: nan	MetaParam_5: nan	MetaParam_6: nan	MetaParam_7: nan	MetaParam_8: nan	MetaParam_9: nan	MetaParam_10: nan	V_1: nan	K_norm: nan
Train Episode: 3	Loss: nan	Accuracy: 0.000	MetaParam_1: nan	MetaParam_2: nan	MetaParam_3: nan	MetaParam_4: nan	MetaParam_5: nan	MetaParam_6: nan	MetaParam_7: nan	MetaParam_8: nan	MetaParam_9: nan	MetaParam_10: nan	V_1: nan	K_norm: nan
Train Episode: 4	Loss: nan	Accuracy: 0.000	MetaParam_1: nan	MetaParam_2: nan	MetaParam_3: nan	MetaParam_4: nan	MetaParam_5: nan	MetaParam_6: nan	MetaParam_7: nan	MetaParam_8: nan	MetaParam_9: nan	MetaParam_10: nan	V_1: nan	K_norm: nan
Train Episode: 5	Loss: nan	Accuracy: 0.000	MetaParam_1: nan	MetaParam_2: nan	MetaParam_3: nan	MetaParam_4: nan	MetaParam_5: nan	MetaParam_6: nan	MetaParam_7: nan	MetaParam_8: nan	MetaParam_9: nan	MetaParam_10: nan	V_1: nan	K_norm: nan
Train Episode: 6	Loss: nan	Accuracy: 0.000	MetaParam_1: nan	MetaParam_2: nan	MetaParam_3: nan	MetaParam_4: nan	MetaParam_5: nan	MetaParam_6: nan	MetaParam_7: nan	MetaParam_8: nan	MetaParam_9: nan	MetaParam_10: nan	V_1: nan	K_norm: nan
Train Episode: 7	Loss: nan	Accuracy: 0.000	MetaParam_1: nan	MetaParam_2: nan	MetaParam_3: nan	MetaParam_4: nan	MetaParam_5: nan	MetaParam_6: nan	MetaParam_7: nan	MetaParam_8: nan	MetaParam_9: nan	MetaParam_10: nan	V_1: nan	K_norm: nan
Train Episode: 8	Loss: nan	Accuracy: 0.000	MetaParam_1: nan	MetaParam_2: nan	MetaParam_3: nan	MetaParam_4: nan	MetaParam_5: nan	MetaParam_6: nan	MetaParam_7: nan	MetaParam_8: nan	MetaParam_9: nan	MetaParam_10: nan	V_1: nan	K_norm: nan
Train Episode: 9	Loss: nan	Accuracy: 0.200	MetaParam_1: nan	MetaParam_2: nan	MetaParam_3: nan	MetaParam_4: nan	MetaParam_5: nan	MetaParam_6: nan	MetaParam_7: nan	MetaParam_8: nan	MetaParam_9: nan	MetaParam_10: nan	V_1: nan	K_norm: nan
Train Episode: 10	Loss: nan	Accuracy: 0.000	MetaParam_1: nan	MetaParam_2: nan	MetaParam_3: nan	MetaParam_4: nan	MetaParam_5: nan	MetaParam_6: nan	MetaParam_7: nan	MetaParam_8: nan	MetaParam_9: nan	MetaParam_10: nan	V_1: nan	K_norm: nan
Train Episode: 11	Loss: nan	Accuracy: 0.000	MetaParam_1: nan	MetaParam_2: nan	MetaParam_3: nan	MetaParam_4: nan	MetaParam_5: nan	MetaParam_6: nan	MetaParam_7: nan	MetaParam_8: nan	MetaParam_9: nan	MetaParam_10: nan	V_1: nan	K_norm: nan
