Train Episode: 1	Loss: 3.619668	Accuracy: 0.180	Current Training Data Per Class: 50
Train Episode: 2	Loss: 2.642021	Accuracy: 0.200	Current Training Data Per Class: 50
Train Episode: 3	Loss: 3.780744	Accuracy: 0.200	Current Training Data Per Class: 50
Train Episode: 4	Loss: 3.836653	Accuracy: 0.200	Current Training Data Per Class: 50
Train Episode: 5	Loss: 3.835794	Accuracy: 0.200	Current Training Data Per Class: 50
Train Episode: 6	Loss: 3.850147	Accuracy: 0.200	Current Training Data Per Class: 50
Train Episode: 7	Loss: 3.850148	Accuracy: 0.200	Current Training Data Per Class: 50
Train Episode: 8	Loss: 3.850148	Accuracy: 0.000	Current Training Data Per Class: 50
Train Episode: 9	Loss: 3.850148	Accuracy: 0.200	Current Training Data Per Class: 50
Train Episode: 10	Loss: 3.850148	Accuracy: 0.000	Current Training Data Per Class: 50
Train Episode: 11	Loss: 3.850148	Accuracy: 0.200	Current Training Data Per Class: 50
Train Episode: 12	Loss: 3.850148	Accuracy: 0.000	Current Training Data Per Class: 50
Train Episode: 13	Loss: 3.850148	Accuracy: 0.000	Current Training Data Per Class: 50
Train Episode: 14	Loss: 3.850148	Accuracy: 0.000	Current Training Data Per Class: 50
Train Episode: 15	Loss: 3.850148	Accuracy: 0.000	Current Training Data Per Class: 50
Train Episode: 16	Loss: 3.850148	Accuracy: 0.000	Current Training Data Per Class: 50
Train Episode: 17	Loss: 3.850148	Accuracy: 0.000	Current Training Data Per Class: 50
Train Episode: 18	Loss: 3.850148	Accuracy: 0.000	Current Training Data Per Class: 50
