Train Episode: 1	Loss: 3.619668	Accuracy: 0.180	Current Training Data Per Class: 50
Train Episode: 2	Loss: 2.642021	Accuracy: 0.200	Current Training Data Per Class: 50
Train Episode: 3	Loss: 3.780744	Accuracy: 0.200	Current Training Data Per Class: 50
Train Episode: 4	Loss: 3.836653	Accuracy: 0.200	Current Training Data Per Class: 50
Train Episode: 5	Loss: 3.835794	Accuracy: 0.200	Current Training Data Per Class: 50
Train Episode: 6	Loss: 3.850147	Accuracy: 0.200	Current Training Data Per Class: 50
Train Episode: 7	Loss: 3.850148	Accuracy: 0.200	Current Training Data Per Class: 50
Train Episode: 8	Loss: 3.850148	Accuracy: 0.000	Current Training Data Per Class: 50
Train Episode: 9	Loss: 3.850148	Accuracy: 0.200	Current Training Data Per Class: 50
Train Episode: 10	Loss: 3.850148	Accuracy: 0.000	Current Training Data Per Class: 50
Train Episode: 11	Loss: 3.850148	Accuracy: 0.200	Current Training Data Per Class: 50
Train Episode: 12	Loss: 3.850148	Accuracy: 0.000	Current Training Data Per Class: 50
Train Episode: 13	Loss: 3.850148	Accuracy: 0.000	Current Training Data Per Class: 50
Train Episode: 14	Loss: 3.850148	Accuracy: 0.000	Current Training Data Per Class: 50
Train Episode: 15	Loss: 3.850148	Accuracy: 0.000	Current Training Data Per Class: 50
Train Episode: 16	Loss: 3.850148	Accuracy: 0.000	Current Training Data Per Class: 50
Train Episode: 17	Loss: 3.850148	Accuracy: 0.000	Current Training Data Per Class: 50
Train Episode: 18	Loss: 3.850148	Accuracy: 0.000	Current Training Data Per Class: 50
Train Episode: 19	Loss: 3.850148	Accuracy: 0.000	Current Training Data Per Class: 50
Train Episode: 20	Loss: 3.850148	Accuracy: 0.000	Current Training Data Per Class: 50
Train Episode: 21	Loss: 3.850148	Accuracy: 0.200	Current Training Data Per Class: 50
Train Episode: 22	Loss: 3.850148	Accuracy: 0.000	Current Training Data Per Class: 50
Train Episode: 23	Loss: 3.850148	Accuracy: 0.000	Current Training Data Per Class: 50
Train Episode: 24	Loss: 3.850148	Accuracy: 0.200	Current Training Data Per Class: 50
Train Episode: 25	Loss: 3.850148	Accuracy: 0.000	Current Training Data Per Class: 50
Train Episode: 26	Loss: 3.850148	Accuracy: 0.000	Current Training Data Per Class: 50
Train Episode: 27	Loss: 3.850148	Accuracy: 0.000	Current Training Data Per Class: 50
Train Episode: 28	Loss: 3.850148	Accuracy: 0.000	Current Training Data Per Class: 50
Train Episode: 29	Loss: 3.850148	Accuracy: 0.000	Current Training Data Per Class: 50
Train Episode: 30	Loss: 3.850148	Accuracy: 0.000	Current Training Data Per Class: 50
Train Episode: 31	Loss: 3.850148	Accuracy: 0.000	Current Training Data Per Class: 50
Train Episode: 32	Loss: 3.850148	Accuracy: 0.000	Current Training Data Per Class: 50
Train Episode: 33	Loss: 3.850148	Accuracy: 0.200	Current Training Data Per Class: 50
Train Episode: 34	Loss: 3.850148	Accuracy: 0.000	Current Training Data Per Class: 50
Train Episode: 35	Loss: 3.850148	Accuracy: 0.000	Current Training Data Per Class: 50
Train Episode: 36	Loss: 3.850148	Accuracy: 0.000	Current Training Data Per Class: 50
Train Episode: 37	Loss: 3.850148	Accuracy: 0.200	Current Training Data Per Class: 50
Train Episode: 38	Loss: 3.850148	Accuracy: 0.000	Current Training Data Per Class: 50
Train Episode: 39	Loss: 3.850148	Accuracy: 0.000	Current Training Data Per Class: 50
Train Episode: 40	Loss: 3.850148	Accuracy: 0.000	Current Training Data Per Class: 50
Train Episode: 41	Loss: 3.850148	Accuracy: 0.000	Current Training Data Per Class: 50
Train Episode: 42	Loss: 3.850148	Accuracy: 0.000	Current Training Data Per Class: 50
Train Episode: 43	Loss: 3.850148	Accuracy: 0.000	Current Training Data Per Class: 50
Train Episode: 44	Loss: 3.850148	Accuracy: 0.000	Current Training Data Per Class: 50
Train Episode: 45	Loss: 3.850148	Accuracy: 0.000	Current Training Data Per Class: 50
Train Episode: 46	Loss: 3.850148	Accuracy: 0.000	Current Training Data Per Class: 50
Train Episode: 47	Loss: 3.850148	Accuracy: 0.000	Current Training Data Per Class: 50
Train Episode: 48	Loss: 3.850148	Accuracy: 0.000	Current Training Data Per Class: 50
Train Episode: 49	Loss: 3.850148	Accuracy: 0.000	Current Training Data Per Class: 50
Train Episode: 50	Loss: 3.850148	Accuracy: 0.000	Current Training Data Per Class: 50
Train Episode: 51	Loss: 3.850148	Accuracy: 0.000	Current Training Data Per Class: 50
Train Episode: 52	Loss: 3.850148	Accuracy: 0.000	Current Training Data Per Class: 50
Train Episode: 53	Loss: 3.850148	Accuracy: 0.000	Current Training Data Per Class: 50
Train Episode: 54	Loss: 3.850148	Accuracy: 0.000	Current Training Data Per Class: 50
Train Episode: 55	Loss: 3.850148	Accuracy: 0.000	Current Training Data Per Class: 50
Train Episode: 56	Loss: 3.850148	Accuracy: 0.000	Current Training Data Per Class: 50
Train Episode: 57	Loss: 3.850148	Accuracy: 0.000	Current Training Data Per Class: 50
Train Episode: 58	Loss: 3.850148	Accuracy: 0.000	Current Training Data Per Class: 50
