Episode: 1: [[0.2 0.2 0.2 0.2 0.2]] 
Episode: 2: [[0.2001 0.1999 0.1999 0.1999 0.1999]] 
Episode: 3: [[0.20019951 0.19982064 0.1998005  0.1998002  0.19980013]] 
Episode: 4: [[0.20028408 0.19975626 0.19971599 0.19971523 0.19971505]] 
Episode: 5: [[0.20037042 0.19981183 0.19963345 0.19963822 0.19962433]] 
Episode: 6: [[0.20044342 0.1998562  0.19954497 0.19956776 0.19959551]] 
Episode: 7: [[0.20050164 0.19988367 0.19945414 0.19951017 0.19960213]] 
Episode: 8: [[0.20050164 0.19988367 0.19945414 0.19951017 0.19960213]] 
Episode: 9: [[0.20050164 0.19988367 0.19945414 0.19951017 0.19960213]] 
Episode: 10: [[0.20050164 0.19988367 0.19945414 0.19951017 0.19960213]] 
Episode: 11: [[0.20050164 0.19988367 0.19945414 0.19951017 0.19960213]] 
Episode: 12: [[0.20050164 0.19988367 0.19945414 0.19951017 0.19960213]] 
Episode: 13: [[0.20050164 0.19988367 0.19945414 0.19951017 0.19960213]] 
Episode: 14: [[0.20050164 0.19988367 0.19945414 0.19951017 0.19960213]] 
Episode: 15: [[0.20050164 0.19988367 0.19945414 0.19951017 0.19960213]] 
