Train Episode: 1	Loss: 3.851802	Accuracy: 0.000	MetaParam_1: 0.001000	MetaParam_2: 0.000000	MetaParam_3: 0.000000
Train Episode: 2	Loss: 2.077766	Accuracy: 0.200	MetaParam_1: 0.002000	MetaParam_2: 0.001000	MetaParam_3: 0.001000
Train Episode: 3	Loss: 1.833513	Accuracy: 0.200	MetaParam_1: 0.002774	MetaParam_2: 0.000314	MetaParam_3: 0.001769
Train Episode: 4	Loss: 1.253352	Accuracy: 0.400	MetaParam_1: 0.003541	MetaParam_2: -0.000502	MetaParam_3: 0.002447
Train Episode: 5	Loss: 1.702827	Accuracy: 0.220	MetaParam_1: 0.004396	MetaParam_2: -0.001329	MetaParam_3: 0.002985
Train Episode: 6	Loss: 1.577266	Accuracy: 0.340	MetaParam_1: 0.005171	MetaParam_2: -0.002070	MetaParam_3: 0.003437
Train Episode: 7	Loss: 1.676050	Accuracy: 0.240	MetaParam_1: 0.005825	MetaParam_2: -0.002739	MetaParam_3: 0.003926
Train Episode: 8	Loss: 1.553803	Accuracy: 0.380	MetaParam_1: 0.006398	MetaParam_2: -0.003352	MetaParam_3: 0.004369
Train Episode: 9	Loss: 1.391767	Accuracy: 0.240	MetaParam_1: 0.006897	MetaParam_2: -0.003901	MetaParam_3: 0.004859
Train Episode: 10	Loss: 1.256106	Accuracy: 0.480	MetaParam_1: 0.007428	MetaParam_2: -0.004562	MetaParam_3: 0.005392
Train Episode: 11	Loss: 1.048081	Accuracy: 0.540	MetaParam_1: 0.007926	MetaParam_2: -0.005254	MetaParam_3: 0.005915
Train Episode: 12	Loss: 1.821108	Accuracy: 0.360	MetaParam_1: 0.008386	MetaParam_2: -0.005961	MetaParam_3: 0.006447
Train Episode: 13	Loss: 1.238463	Accuracy: 0.420	MetaParam_1: 0.008829	MetaParam_2: -0.006669	MetaParam_3: 0.006865
Train Episode: 14	Loss: 1.210134	Accuracy: 0.580	MetaParam_1: 0.009255	MetaParam_2: -0.007350	MetaParam_3: 0.007301
Train Episode: 15	Loss: 0.893440	Accuracy: 0.680	MetaParam_1: 0.009639	MetaParam_2: -0.008046	MetaParam_3: 0.007760
Train Episode: 16	Loss: 1.217087	Accuracy: 0.460	MetaParam_1: 0.009992	MetaParam_2: -0.008705	MetaParam_3: 0.008246
Train Episode: 17	Loss: 1.042595	Accuracy: 0.560	MetaParam_1: 0.010378	MetaParam_2: -0.009383	MetaParam_3: 0.008523
Train Episode: 18	Loss: 0.426258	Accuracy: 0.860	MetaParam_1: 0.010774	MetaParam_2: -0.010068	MetaParam_3: 0.008780
Train Episode: 19	Loss: 0.936818	Accuracy: 0.600	MetaParam_1: 0.011162	MetaParam_2: -0.010727	MetaParam_3: 0.008997
Train Episode: 20	Loss: 0.587007	Accuracy: 0.780	MetaParam_1: 0.011566	MetaParam_2: -0.011366	MetaParam_3: 0.009140
Train Episode: 21	Loss: 1.039685	Accuracy: 0.520	MetaParam_1: 0.011955	MetaParam_2: -0.011971	MetaParam_3: 0.009253
Train Episode: 22	Loss: 0.951775	Accuracy: 0.720	MetaParam_1: 0.012342	MetaParam_2: -0.012573	MetaParam_3: 0.009284
Train Episode: 23	Loss: 1.270814	Accuracy: 0.520	MetaParam_1: 0.012723	MetaParam_2: -0.013235	MetaParam_3: 0.009331
Train Episode: 24	Loss: 1.221902	Accuracy: 0.460	MetaParam_1: 0.013092	MetaParam_2: -0.013826	MetaParam_3: 0.009214
Train Episode: 25	Loss: 0.473983	Accuracy: 0.860	MetaParam_1: 0.013449	MetaParam_2: -0.014429	MetaParam_3: 0.009101
Train Episode: 26	Loss: 1.287147	Accuracy: 0.480	MetaParam_1: 0.013816	MetaParam_2: -0.015035	MetaParam_3: 0.008864
Train Episode: 27	Loss: 0.589817	Accuracy: 0.820	MetaParam_1: 0.014162	MetaParam_2: -0.015610	MetaParam_3: 0.008617
Train Episode: 28	Loss: 1.352997	Accuracy: 0.500	MetaParam_1: 0.014485	MetaParam_2: -0.016183	MetaParam_3: 0.008441
Train Episode: 29	Loss: 1.314199	Accuracy: 0.420	MetaParam_1: 0.014790	MetaParam_2: -0.016744	MetaParam_3: 0.008296
Train Episode: 30	Loss: 0.630993	Accuracy: 0.800	MetaParam_1: 0.015100	MetaParam_2: -0.017294	MetaParam_3: 0.008165
Train Episode: 31	Loss: 1.412422	Accuracy: 0.480	MetaParam_1: 0.015405	MetaParam_2: -0.017904	MetaParam_3: 0.008091
Train Episode: 32	Loss: 1.044738	Accuracy: 0.600	MetaParam_1: 0.015683	MetaParam_2: -0.018473	MetaParam_3: 0.007991
Train Episode: 33	Loss: 0.790900	Accuracy: 0.780	MetaParam_1: 0.015946	MetaParam_2: -0.019067	MetaParam_3: 0.007925
Train Episode: 34	Loss: 0.803995	Accuracy: 0.680	MetaParam_1: 0.016194	MetaParam_2: -0.019651	MetaParam_3: 0.007877
Train Episode: 35	Loss: 1.030255	Accuracy: 0.720	MetaParam_1: 0.016437	MetaParam_2: -0.020252	MetaParam_3: 0.007872
Train Episode: 36	Loss: 0.680637	Accuracy: 0.700	MetaParam_1: 0.016674	MetaParam_2: -0.020888	MetaParam_3: 0.007954
Train Episode: 37	Loss: 0.857223	Accuracy: 0.640	MetaParam_1: 0.016884	MetaParam_2: -0.021483	MetaParam_3: 0.008046
Train Episode: 38	Loss: 0.834467	Accuracy: 0.680	MetaParam_1: 0.017057	MetaParam_2: -0.022047	MetaParam_3: 0.008131
Train Episode: 39	Loss: 1.202604	Accuracy: 0.600	MetaParam_1: 0.017229	MetaParam_2: -0.022591	MetaParam_3: 0.008202
Train Episode: 40	Loss: 0.791873	Accuracy: 0.740	MetaParam_1: 0.017412	MetaParam_2: -0.023147	MetaParam_3: 0.008383
Train Episode: 41	Loss: 0.474501	Accuracy: 0.820	MetaParam_1: 0.017584	MetaParam_2: -0.023693	MetaParam_3: 0.008591
Train Episode: 42	Loss: 0.937862	Accuracy: 0.620	MetaParam_1: 0.017742	MetaParam_2: -0.024223	MetaParam_3: 0.008798
Train Episode: 43	Loss: 1.162410	Accuracy: 0.460	MetaParam_1: 0.017917	MetaParam_2: -0.024764	MetaParam_3: 0.008955
Train Episode: 44	Loss: 0.948084	Accuracy: 0.640	MetaParam_1: 0.018082	MetaParam_2: -0.025283	MetaParam_3: 0.009139
Train Episode: 45	Loss: 0.455383	Accuracy: 0.860	MetaParam_1: 0.018243	MetaParam_2: -0.025789	MetaParam_3: 0.009245
Train Episode: 46	Loss: 1.009541	Accuracy: 0.600	MetaParam_1: 0.018392	MetaParam_2: -0.026276	MetaParam_3: 0.009381
Train Episode: 47	Loss: 1.662394	Accuracy: 0.440	MetaParam_1: 0.018524	MetaParam_2: -0.026766	MetaParam_3: 0.009544
Train Episode: 48	Loss: 0.792390	Accuracy: 0.700	MetaParam_1: 0.018619	MetaParam_2: -0.027206	MetaParam_3: 0.009483
Train Episode: 49	Loss: 1.043541	Accuracy: 0.560	MetaParam_1: 0.018708	MetaParam_2: -0.027610	MetaParam_3: 0.009382
Train Episode: 50	Loss: 1.632995	Accuracy: 0.260	MetaParam_1: 0.018784	MetaParam_2: -0.028049	MetaParam_3: 0.009314
