Runner Episode: 1	Loss: 2.411041	Accuracy: 0.250 	 Current Training Data Per Class: 10
Runner Episode: 2	Loss: 2.323594	Accuracy: 0.210 	 Current Training Data Per Class: 10
Runner Episode: 3	Loss: 2.741431	Accuracy: 0.225 	 Current Training Data Per Class: 10
Runner Episode: 4	Loss: 2.560467	Accuracy: 0.105 	 Current Training Data Per Class: 10
Runner Episode: 5	Loss: 2.317809	Accuracy: 0.100 	 Current Training Data Per Class: 10
Runner Episode: 6	Loss: 2.651596	Accuracy: 0.100 	 Current Training Data Per Class: 10
Runner Episode: 7	Loss: 2.527244	Accuracy: 0.100 	 Current Training Data Per Class: 10
Runner Episode: 8	Loss: 2.897813	Accuracy: 0.195 	 Current Training Data Per Class: 10
Runner Episode: 9	Loss: 2.567753	Accuracy: 0.100 	 Current Training Data Per Class: 10
Runner Episode: 10	Loss: 2.510041	Accuracy: 0.125 	 Current Training Data Per Class: 10
Runner Episode: 11	Loss: 2.388402	Accuracy: 0.155 	 Current Training Data Per Class: 10
Runner Episode: 12	Loss: 2.576413	Accuracy: 0.190 	 Current Training Data Per Class: 10
Runner Episode: 13	Loss: 2.387143	Accuracy: 0.115 	 Current Training Data Per Class: 10
Runner Episode: 14	Loss: 2.614701	Accuracy: 0.100 	 Current Training Data Per Class: 10
Runner Episode: 15	Loss: 2.889544	Accuracy: 0.100 	 Current Training Data Per Class: 10
Runner Episode: 16	Loss: 2.991052	Accuracy: 0.185 	 Current Training Data Per Class: 10
Runner Episode: 17	Loss: 2.512931	Accuracy: 0.155 	 Current Training Data Per Class: 10
Runner Episode: 18	Loss: 2.511320	Accuracy: 0.215 	 Current Training Data Per Class: 10
Runner Episode: 19	Loss: 2.376759	Accuracy: 0.165 	 Current Training Data Per Class: 10
Runner Episode: 20	Loss: 2.700068	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 21	Loss: 2.857733	Accuracy: 0.090 	 Current Training Data Per Class: 10
Runner Episode: 22	Loss: 2.339984	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 23	Loss: 2.870818	Accuracy: 0.100 	 Current Training Data Per Class: 10
Runner Episode: 24	Loss: 2.519564	Accuracy: 0.150 	 Current Training Data Per Class: 10
Runner Episode: 25	Loss: 2.759006	Accuracy: 0.100 	 Current Training Data Per Class: 10
Runner Episode: 26	Loss: 2.557126	Accuracy: 0.185 	 Current Training Data Per Class: 10
Runner Episode: 27	Loss: 2.658426	Accuracy: 0.100 	 Current Training Data Per Class: 10
Runner Episode: 28	Loss: 2.701153	Accuracy: 0.135 	 Current Training Data Per Class: 10
Runner Episode: 29	Loss: 2.507512	Accuracy: 0.180 	 Current Training Data Per Class: 10
Runner Episode: 30	Loss: 2.533808	Accuracy: 0.160 	 Current Training Data Per Class: 10
Runner Episode: 31	Loss: 3.144724	Accuracy: 0.100 	 Current Training Data Per Class: 10
Runner Episode: 32	Loss: 2.502405	Accuracy: 0.160 	 Current Training Data Per Class: 10
Runner Episode: 33	Loss: 2.451604	Accuracy: 0.190 	 Current Training Data Per Class: 10
Runner Episode: 34	Loss: 2.632583	Accuracy: 0.165 	 Current Training Data Per Class: 10
Runner Episode: 35	Loss: 2.596631	Accuracy: 0.220 	 Current Training Data Per Class: 10
Runner Episode: 36	Loss: 3.042917	Accuracy: 0.100 	 Current Training Data Per Class: 10
Runner Episode: 37	Loss: 2.569760	Accuracy: 0.100 	 Current Training Data Per Class: 10
Runner Episode: 38	Loss: 2.564138	Accuracy: 0.175 	 Current Training Data Per Class: 10
Runner Episode: 39	Loss: 2.387856	Accuracy: 0.170 	 Current Training Data Per Class: 10
Runner Episode: 40	Loss: 2.504645	Accuracy: 0.280 	 Current Training Data Per Class: 10
Runner Episode: 41	Loss: 2.490800	Accuracy: 0.100 	 Current Training Data Per Class: 10
Runner Episode: 42	Loss: 2.854812	Accuracy: 0.100 	 Current Training Data Per Class: 10
Runner Episode: 43	Loss: 2.252114	Accuracy: 0.175 	 Current Training Data Per Class: 10
Runner Episode: 44	Loss: 2.847327	Accuracy: 0.165 	 Current Training Data Per Class: 10
Runner Episode: 45	Loss: 2.534712	Accuracy: 0.100 	 Current Training Data Per Class: 10
Runner Episode: 46	Loss: 2.375392	Accuracy: 0.100 	 Current Training Data Per Class: 10
Runner Episode: 47	Loss: 2.364949	Accuracy: 0.100 	 Current Training Data Per Class: 10
Runner Episode: 48	Loss: 2.571329	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 49	Loss: 2.609396	Accuracy: 0.100 	 Current Training Data Per Class: 10
Runner Episode: 50	Loss: 2.336081	Accuracy: 0.195 	 Current Training Data Per Class: 10
