Runner Episode: 1	Loss: 4.433338	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 2	Loss: 4.817282	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 3	Loss: 32.054638	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 4	Loss: 18.493523	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 5	Loss: 9.617347	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 6	Loss: 2.738876	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 7	Loss: 3.315468	Accuracy: 0.210 	 Current Training Data Per Class: 10
Runner Episode: 8	Loss: 3.170126	Accuracy: 0.310 	 Current Training Data Per Class: 10
Runner Episode: 9	Loss: 5.246188	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 10	Loss: 15.382471	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 11	Loss: 3.858073	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 12	Loss: 8.201406	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 13	Loss: 5.444510	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 14	Loss: 2.551419	Accuracy: 0.300 	 Current Training Data Per Class: 10
Runner Episode: 15	Loss: 16.070070	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 16	Loss: 9.435911	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 17	Loss: 14.609602	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 18	Loss: 2.698981	Accuracy: 0.280 	 Current Training Data Per Class: 10
Runner Episode: 19	Loss: 4.063423	Accuracy: 0.290 	 Current Training Data Per Class: 10
Runner Episode: 20	Loss: 13.991233	Accuracy: 0.200 	 Current Training Data Per Class: 10
