Train Episode: 1	Loss: 0.411893	Accuracy: 0.940	 Current training data: 100
Train Episode: 2	Loss: 0.889124	Accuracy: 0.760	 Current training data: 100
Train Episode: 3	Loss: 0.658508	Accuracy: 0.860	 Current training data: 100
Train Episode: 4	Loss: 1.107336	Accuracy: 0.830	 Current training data: 100
Train Episode: 5	Loss: 0.237197	Accuracy: 0.920	 Current training data: 100
Train Episode: 6	Loss: 0.593752	Accuracy: 0.890	 Current training data: 100
Train Episode: 7	Loss: 0.484547	Accuracy: 0.910	 Current training data: 100
Train Episode: 8	Loss: 0.538623	Accuracy: 0.910	 Current training data: 100
Train Episode: 9	Loss: 0.554587	Accuracy: 0.890	 Current training data: 100
Train Episode: 10	Loss: 0.716895	Accuracy: 0.860	 Current training data: 100
Train Episode: 11	Loss: 0.395343	Accuracy: 0.910	 Current training data: 100
Train Episode: 12	Loss: 0.102148	Accuracy: 0.950	 Current training data: 100
Train Episode: 13	Loss: 0.714931	Accuracy: 0.860	 Current training data: 100
Train Episode: 14	Loss: 0.680154	Accuracy: 0.830	 Current training data: 100
Train Episode: 15	Loss: 0.331115	Accuracy: 0.950	 Current training data: 100
Train Episode: 16	Loss: 0.298553	Accuracy: 0.920	 Current training data: 100
Train Episode: 17	Loss: 0.661300	Accuracy: 0.900	 Current training data: 100
Train Episode: 18	Loss: 1.037153	Accuracy: 0.830	 Current training data: 100
Train Episode: 19	Loss: 0.671169	Accuracy: 0.840	 Current training data: 100
Train Episode: 20	Loss: 0.534072	Accuracy: 0.860	 Current training data: 100
