Train Episode: 1	Loss: 0.305828	Accuracy: 0.930	 Current training data: 140
Train Episode: 2	Loss: 0.518799	Accuracy: 0.740	 Current training data: 140
Train Episode: 3	Loss: 0.155407	Accuracy: 0.970	 Current training data: 140
Train Episode: 4	Loss: 0.272591	Accuracy: 0.960	 Current training data: 140
Train Episode: 5	Loss: 0.341728	Accuracy: 0.900	 Current training data: 140
Train Episode: 6	Loss: 0.883610	Accuracy: 0.710	 Current training data: 140
Train Episode: 7	Loss: 0.731057	Accuracy: 0.710	 Current training data: 140
Train Episode: 8	Loss: 0.702090	Accuracy: 0.670	 Current training data: 140
Train Episode: 9	Loss: 0.542097	Accuracy: 0.760	 Current training data: 140
Train Episode: 10	Loss: 0.347571	Accuracy: 0.800	 Current training data: 140
Train Episode: 11	Loss: 0.525844	Accuracy: 0.870	 Current training data: 140
Train Episode: 12	Loss: 0.676237	Accuracy: 0.760	 Current training data: 140
Train Episode: 13	Loss: 0.679164	Accuracy: 0.750	 Current training data: 140
Train Episode: 14	Loss: 0.520920	Accuracy: 0.850	 Current training data: 140
Train Episode: 15	Loss: 0.816329	Accuracy: 0.840	 Current training data: 140
Train Episode: 16	Loss: 0.647138	Accuracy: 0.880	 Current training data: 140
Train Episode: 17	Loss: 0.454027	Accuracy: 0.790	 Current training data: 140
Train Episode: 18	Loss: 1.093303	Accuracy: 0.860	 Current training data: 140
Train Episode: 19	Loss: 0.845870	Accuracy: 0.840	 Current training data: 140
Train Episode: 20	Loss: 0.580409	Accuracy: 0.910	 Current training data: 140
