Train Episode: 1	Loss: 1.088834	Accuracy: 0.545	 Current training data: 200
Train Episode: 2	Loss: 0.640232	Accuracy: 0.735	 Current training data: 200
Train Episode: 3	Loss: 0.745156	Accuracy: 0.710	 Current training data: 200
Train Episode: 4	Loss: 1.227041	Accuracy: 0.510	 Current training data: 200
Train Episode: 5	Loss: 0.811883	Accuracy: 0.725	 Current training data: 200
Train Episode: 6	Loss: 0.835257	Accuracy: 0.630	 Current training data: 200
Train Episode: 7	Loss: 0.895001	Accuracy: 0.615	 Current training data: 200
Train Episode: 8	Loss: 1.222580	Accuracy: 0.615	 Current training data: 200
Train Episode: 9	Loss: 0.874832	Accuracy: 0.675	 Current training data: 200
Train Episode: 10	Loss: 0.793383	Accuracy: 0.685	 Current training data: 200
Train Episode: 11	Loss: 1.633998	Accuracy: 0.580	 Current training data: 200
Train Episode: 12	Loss: 0.802374	Accuracy: 0.665	 Current training data: 200
Train Episode: 13	Loss: 0.754768	Accuracy: 0.685	 Current training data: 200
Train Episode: 14	Loss: 0.917368	Accuracy: 0.655	 Current training data: 200
Train Episode: 15	Loss: 0.770562	Accuracy: 0.685	 Current training data: 200
Train Episode: 16	Loss: 1.124600	Accuracy: 0.525	 Current training data: 200
Train Episode: 17	Loss: 1.097715	Accuracy: 0.540	 Current training data: 200
Train Episode: 18	Loss: 0.875073	Accuracy: 0.685	 Current training data: 200
Train Episode: 19	Loss: 0.869886	Accuracy: 0.665	 Current training data: 200
Train Episode: 20	Loss: 0.862030	Accuracy: 0.650	 Current training data: 200
