Train Episode: 1	Loss: 0.258185	Accuracy: 0.900	 Current training data: 140
Train Episode: 2	Loss: 0.417301	Accuracy: 0.810	 Current training data: 140
Train Episode: 3	Loss: 0.420100	Accuracy: 0.920	 Current training data: 140
Train Episode: 4	Loss: 0.420660	Accuracy: 0.880	 Current training data: 140
Train Episode: 5	Loss: 0.219567	Accuracy: 0.910	 Current training data: 140
Train Episode: 6	Loss: 0.309666	Accuracy: 0.920	 Current training data: 140
Train Episode: 7	Loss: 0.268547	Accuracy: 0.940	 Current training data: 140
Train Episode: 8	Loss: 1.034617	Accuracy: 0.760	 Current training data: 140
Train Episode: 9	Loss: 0.276291	Accuracy: 0.910	 Current training data: 140
Train Episode: 10	Loss: 0.725734	Accuracy: 0.870	 Current training data: 140
Train Episode: 11	Loss: 0.259272	Accuracy: 0.940	 Current training data: 140
Train Episode: 12	Loss: 0.246496	Accuracy: 0.920	 Current training data: 140
Train Episode: 13	Loss: 0.422991	Accuracy: 0.840	 Current training data: 140
Train Episode: 14	Loss: 0.352867	Accuracy: 0.890	 Current training data: 140
Train Episode: 15	Loss: 0.358391	Accuracy: 0.910	 Current training data: 140
Train Episode: 16	Loss: 0.455563	Accuracy: 0.880	 Current training data: 140
Train Episode: 17	Loss: 0.120167	Accuracy: 0.960	 Current training data: 140
Train Episode: 18	Loss: 0.503693	Accuracy: 0.930	 Current training data: 140
Train Episode: 19	Loss: 0.504989	Accuracy: 0.880	 Current training data: 140
Train Episode: 20	Loss: 0.197178	Accuracy: 0.960	 Current training data: 140
