Train Episode: 1	Loss: 0.756665	Accuracy: 0.745	 Current training data: 400
Train Episode: 2	Loss: 0.648163	Accuracy: 0.780	 Current training data: 400
Train Episode: 3	Loss: 1.001274	Accuracy: 0.780	 Current training data: 400
Train Episode: 4	Loss: 0.555497	Accuracy: 0.795	 Current training data: 400
Train Episode: 5	Loss: 0.533376	Accuracy: 0.795	 Current training data: 400
Train Episode: 6	Loss: 0.685276	Accuracy: 0.835	 Current training data: 400
Train Episode: 7	Loss: 0.690369	Accuracy: 0.780	 Current training data: 400
Train Episode: 8	Loss: 0.624001	Accuracy: 0.830	 Current training data: 400
Train Episode: 9	Loss: 0.653854	Accuracy: 0.820	 Current training data: 400
Train Episode: 10	Loss: 0.541713	Accuracy: 0.795	 Current training data: 400
Train Episode: 11	Loss: 0.545747	Accuracy: 0.820	 Current training data: 400
Train Episode: 12	Loss: 0.667139	Accuracy: 0.775	 Current training data: 400
Train Episode: 13	Loss: 0.653596	Accuracy: 0.820	 Current training data: 400
Train Episode: 14	Loss: 0.550668	Accuracy: 0.795	 Current training data: 400
Train Episode: 15	Loss: 0.871297	Accuracy: 0.735	 Current training data: 400
Train Episode: 16	Loss: 0.654073	Accuracy: 0.770	 Current training data: 400
Train Episode: 17	Loss: 1.044722	Accuracy: 0.725	 Current training data: 400
Train Episode: 18	Loss: 0.718255	Accuracy: 0.750	 Current training data: 400
Train Episode: 19	Loss: 0.870185	Accuracy: 0.710	 Current training data: 400
Train Episode: 20	Loss: 0.498103	Accuracy: 0.770	 Current training data: 400
