Train Episode: 1	Loss: 3.211837	Accuracy: 0.060	 Current training data: 40	Loss 2: 0.759987	Accuracy 2: 0.680
Train Episode: 2	Loss: 2.140950	Accuracy: 0.310	 Current training data: 40	Loss 2: 0.866872	Accuracy 2: 0.590
Train Episode: 3	Loss: 1.461466	Accuracy: 0.370	 Current training data: 40	Loss 2: 0.901241	Accuracy 2: 0.670
Train Episode: 4	Loss: 0.650563	Accuracy: 0.810	 Current training data: 40	Loss 2: 1.129429	Accuracy 2: 0.420
Train Episode: 5	Loss: 2.003033	Accuracy: 0.260	 Current training data: 40	Loss 2: 0.517305	Accuracy 2: 0.860
Train Episode: 6	Loss: 3.167321	Accuracy: 0.160	 Current training data: 40	Loss 2: 0.905769	Accuracy 2: 0.630
Train Episode: 7	Loss: 3.790121	Accuracy: 0.050	 Current training data: 40	Loss 2: 0.333210	Accuracy 2: 0.920
Train Episode: 8	Loss: 3.314379	Accuracy: 0.350	 Current training data: 40	Loss 2: 0.381755	Accuracy 2: 0.900
Train Episode: 9	Loss: 2.108720	Accuracy: 0.250	 Current training data: 40	Loss 2: 0.592675	Accuracy 2: 0.840
Train Episode: 10	Loss: 1.401474	Accuracy: 0.520	 Current training data: 40	Loss 2: 0.360791	Accuracy 2: 0.890
Train Episode: 11	Loss: 4.808378	Accuracy: 0.050	 Current training data: 40	Loss 2: 1.240278	Accuracy 2: 0.460
Train Episode: 12	Loss: 3.869407	Accuracy: 0.000	 Current training data: 40	Loss 2: 0.583992	Accuracy 2: 0.600
Train Episode: 13	Loss: 1.664441	Accuracy: 0.420	 Current training data: 40	Loss 2: 0.944556	Accuracy 2: 0.590
Train Episode: 14	Loss: 3.458409	Accuracy: 0.120	 Current training data: 40	Loss 2: 0.496361	Accuracy 2: 0.790
Train Episode: 15	Loss: 2.553855	Accuracy: 0.240	 Current training data: 40	Loss 2: 0.623436	Accuracy 2: 0.780
Train Episode: 16	Loss: 0.946249	Accuracy: 0.680	 Current training data: 40	Loss 2: 1.005419	Accuracy 2: 0.590
Train Episode: 17	Loss: 1.291984	Accuracy: 0.580	 Current training data: 40	Loss 2: 0.690385	Accuracy 2: 0.700
Train Episode: 18	Loss: 2.454579	Accuracy: 0.240	 Current training data: 40	Loss 2: 0.634295	Accuracy 2: 0.750
Train Episode: 19	Loss: 2.349111	Accuracy: 0.310	 Current training data: 40	Loss 2: 0.349934	Accuracy 2: 0.830
Train Episode: 20	Loss: 1.605173	Accuracy: 0.440	 Current training data: 40	Loss 2: 0.668068	Accuracy 2: 0.730
