Train Episode: 1	Loss: 0.464334	Accuracy: 0.820	 Current training data: 160
Train Episode: 2	Loss: 0.241482	Accuracy: 0.910	 Current training data: 160
Train Episode: 3	Loss: 0.455824	Accuracy: 0.830	 Current training data: 160
Train Episode: 4	Loss: 0.444404	Accuracy: 0.850	 Current training data: 160
Train Episode: 5	Loss: 0.440943	Accuracy: 0.840	 Current training data: 160
Train Episode: 6	Loss: 0.381578	Accuracy: 0.870	 Current training data: 160
Train Episode: 7	Loss: 0.424692	Accuracy: 0.860	 Current training data: 160
Train Episode: 8	Loss: 0.291742	Accuracy: 0.930	 Current training data: 160
Train Episode: 9	Loss: 0.215897	Accuracy: 0.950	 Current training data: 160
Train Episode: 10	Loss: 0.239661	Accuracy: 0.950	 Current training data: 160
Train Episode: 11	Loss: 0.369105	Accuracy: 0.840	 Current training data: 160
Train Episode: 12	Loss: 0.161639	Accuracy: 0.940	 Current training data: 160
Train Episode: 13	Loss: 0.530918	Accuracy: 0.840	 Current training data: 160
Train Episode: 14	Loss: 0.183363	Accuracy: 0.940	 Current training data: 160
Train Episode: 15	Loss: 0.255833	Accuracy: 0.900	 Current training data: 160
Train Episode: 16	Loss: 0.550960	Accuracy: 0.800	 Current training data: 160
Train Episode: 17	Loss: 0.552377	Accuracy: 0.810	 Current training data: 160
Train Episode: 18	Loss: 0.120691	Accuracy: 0.970	 Current training data: 160
Train Episode: 19	Loss: 0.263910	Accuracy: 0.880	 Current training data: 160
Train Episode: 20	Loss: 0.254672	Accuracy: 0.930	 Current training data: 160
