Train Episode: 1	Loss: 1.505308	Accuracy: 0.320	 Current training data: 300
Train Episode: 2	Loss: 1.458068	Accuracy: 0.370	 Current training data: 300
Train Episode: 3	Loss: 1.358722	Accuracy: 0.480	 Current training data: 300
Train Episode: 4	Loss: 1.301486	Accuracy: 0.470	 Current training data: 300
Train Episode: 5	Loss: 1.270287	Accuracy: 0.450	 Current training data: 300
Train Episode: 6	Loss: 1.222909	Accuracy: 0.450	 Current training data: 300
Train Episode: 7	Loss: 1.433641	Accuracy: 0.380	 Current training data: 300
Train Episode: 8	Loss: 1.229138	Accuracy: 0.400	 Current training data: 300
Train Episode: 9	Loss: 1.233528	Accuracy: 0.530	 Current training data: 300
Train Episode: 10	Loss: 2.720847	Accuracy: 0.360	 Current training data: 300
Train Episode: 11	Loss: 1.300689	Accuracy: 0.450	 Current training data: 300
Train Episode: 12	Loss: 1.028667	Accuracy: 0.545	 Current training data: 300
Train Episode: 13	Loss: 1.106383	Accuracy: 0.435	 Current training data: 300
Train Episode: 14	Loss: 1.674058	Accuracy: 0.340	 Current training data: 300
Train Episode: 15	Loss: 1.576529	Accuracy: 0.350	 Current training data: 300
Train Episode: 16	Loss: 1.712176	Accuracy: 0.400	 Current training data: 300
Train Episode: 17	Loss: 1.087588	Accuracy: 0.485	 Current training data: 300
Train Episode: 18	Loss: 1.225180	Accuracy: 0.475	 Current training data: 300
Train Episode: 19	Loss: 1.340910	Accuracy: 0.440	 Current training data: 300
Train Episode: 20	Loss: 1.157934	Accuracy: 0.460	 Current training data: 300
