Train Episode: 1	Loss: 0.377050	Accuracy: 0.880	 Current training data: 180
Train Episode: 2	Loss: 0.195745	Accuracy: 0.930	 Current training data: 180
Train Episode: 3	Loss: 0.158281	Accuracy: 0.950	 Current training data: 180
Train Episode: 4	Loss: 0.234816	Accuracy: 0.950	 Current training data: 180
Train Episode: 5	Loss: 0.065316	Accuracy: 0.990	 Current training data: 180
Train Episode: 6	Loss: 0.121866	Accuracy: 0.960	 Current training data: 180
Train Episode: 7	Loss: 0.117227	Accuracy: 0.970	 Current training data: 180
Train Episode: 8	Loss: 0.041653	Accuracy: 0.990	 Current training data: 180
Train Episode: 9	Loss: 0.155117	Accuracy: 0.940	 Current training data: 180
Train Episode: 10	Loss: 0.198925	Accuracy: 0.930	 Current training data: 180
Train Episode: 11	Loss: 0.065922	Accuracy: 0.970	 Current training data: 180
Train Episode: 12	Loss: 0.279432	Accuracy: 0.940	 Current training data: 180
Train Episode: 13	Loss: 0.107908	Accuracy: 0.940	 Current training data: 180
Train Episode: 14	Loss: 0.051511	Accuracy: 0.990	 Current training data: 180
Train Episode: 15	Loss: 0.154779	Accuracy: 0.930	 Current training data: 180
Train Episode: 16	Loss: 0.365737	Accuracy: 0.830	 Current training data: 180
Train Episode: 17	Loss: 0.012841	Accuracy: 1.000	 Current training data: 180
Train Episode: 18	Loss: 0.576681	Accuracy: 0.810	 Current training data: 180
Train Episode: 19	Loss: 0.084713	Accuracy: 0.980	 Current training data: 180
Train Episode: 20	Loss: 0.039855	Accuracy: 0.980	 Current training data: 180
