Runner Episode: 1	Loss: 2.182214	Accuracy: 0.190 	 Current Training Data Per Class: 5
Runner Episode: 2	Loss: 2.268287	Accuracy: 0.130 	 Current Training Data Per Class: 5
Runner Episode: 3	Loss: 2.394768	Accuracy: 0.210 	 Current Training Data Per Class: 5
Runner Episode: 4	Loss: 2.655157	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 5	Loss: 3.110089	Accuracy: 0.130 	 Current Training Data Per Class: 5
Runner Episode: 6	Loss: 2.854894	Accuracy: 0.220 	 Current Training Data Per Class: 5
Runner Episode: 7	Loss: 2.167739	Accuracy: 0.220 	 Current Training Data Per Class: 5
Runner Episode: 8	Loss: 2.363835	Accuracy: 0.190 	 Current Training Data Per Class: 5
Runner Episode: 9	Loss: 2.367830	Accuracy: 0.210 	 Current Training Data Per Class: 5
Runner Episode: 10	Loss: 2.897862	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 11	Loss: 2.497815	Accuracy: 0.210 	 Current Training Data Per Class: 5
Runner Episode: 12	Loss: 2.483276	Accuracy: 0.220 	 Current Training Data Per Class: 5
Runner Episode: 13	Loss: 2.255875	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 14	Loss: 2.357976	Accuracy: 0.210 	 Current Training Data Per Class: 5
Runner Episode: 15	Loss: 2.747502	Accuracy: 0.170 	 Current Training Data Per Class: 5
Runner Episode: 16	Loss: 1.366081	Accuracy: 0.600 	 Current Training Data Per Class: 5
Runner Episode: 17	Loss: 2.477779	Accuracy: 0.360 	 Current Training Data Per Class: 5
Runner Episode: 18	Loss: 2.612432	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 19	Loss: 2.502867	Accuracy: 0.210 	 Current Training Data Per Class: 5
Runner Episode: 20	Loss: 2.680438	Accuracy: 0.200 	 Current Training Data Per Class: 5
