Runner Episode: 1	Loss: 1.382525	Accuracy: 0.320 	 Current Training Data Per Class: 225
Runner Episode: 2	Loss: 1.883701	Accuracy: 0.200 	 Current Training Data Per Class: 225
Runner Episode: 3	Loss: 1.043663	Accuracy: 0.470 	 Current Training Data Per Class: 225
Runner Episode: 4	Loss: 1.764764	Accuracy: 0.200 	 Current Training Data Per Class: 225
Runner Episode: 5	Loss: 1.496850	Accuracy: 0.400 	 Current Training Data Per Class: 225
Runner Episode: 6	Loss: 2.041378	Accuracy: 0.200 	 Current Training Data Per Class: 225
Runner Episode: 7	Loss: 1.849975	Accuracy: 0.200 	 Current Training Data Per Class: 225
Runner Episode: 8	Loss: 1.091186	Accuracy: 0.400 	 Current Training Data Per Class: 225
Runner Episode: 9	Loss: 1.884595	Accuracy: 0.200 	 Current Training Data Per Class: 225
Runner Episode: 10	Loss: 1.603391	Accuracy: 0.200 	 Current Training Data Per Class: 225
Runner Episode: 11	Loss: 1.472539	Accuracy: 0.440 	 Current Training Data Per Class: 225
Runner Episode: 12	Loss: 1.911131	Accuracy: 0.200 	 Current Training Data Per Class: 225
Runner Episode: 13	Loss: 1.226037	Accuracy: 0.510 	 Current Training Data Per Class: 225
Runner Episode: 14	Loss: 1.739861	Accuracy: 0.200 	 Current Training Data Per Class: 225
Runner Episode: 15	Loss: 1.898683	Accuracy: 0.200 	 Current Training Data Per Class: 225
Runner Episode: 16	Loss: 1.665701	Accuracy: 0.200 	 Current Training Data Per Class: 225
Runner Episode: 17	Loss: 1.356945	Accuracy: 0.320 	 Current Training Data Per Class: 225
Runner Episode: 18	Loss: 1.737634	Accuracy: 0.200 	 Current Training Data Per Class: 225
Runner Episode: 19	Loss: 1.735418	Accuracy: 0.200 	 Current Training Data Per Class: 225
Runner Episode: 20	Loss: 1.469481	Accuracy: 0.270 	 Current Training Data Per Class: 225
