Runner Episode: 1	Loss: 1.065180	Accuracy: 0.430 	 Current Training Data Per Class: 140
Runner Episode: 2	Loss: 1.755893	Accuracy: 0.220 	 Current Training Data Per Class: 140
Runner Episode: 3	Loss: 2.583276	Accuracy: 0.200 	 Current Training Data Per Class: 140
Runner Episode: 4	Loss: 2.028594	Accuracy: 0.210 	 Current Training Data Per Class: 140
Runner Episode: 5	Loss: 1.682896	Accuracy: 0.410 	 Current Training Data Per Class: 140
Runner Episode: 6	Loss: 1.953595	Accuracy: 0.200 	 Current Training Data Per Class: 140
Runner Episode: 7	Loss: 2.201169	Accuracy: 0.200 	 Current Training Data Per Class: 140
Runner Episode: 8	Loss: 1.923568	Accuracy: 0.190 	 Current Training Data Per Class: 140
Runner Episode: 9	Loss: 2.137590	Accuracy: 0.190 	 Current Training Data Per Class: 140
Runner Episode: 10	Loss: 1.692258	Accuracy: 0.200 	 Current Training Data Per Class: 140
Runner Episode: 11	Loss: 2.101207	Accuracy: 0.210 	 Current Training Data Per Class: 140
Runner Episode: 12	Loss: 2.014382	Accuracy: 0.200 	 Current Training Data Per Class: 140
Runner Episode: 13	Loss: 2.793823	Accuracy: 0.140 	 Current Training Data Per Class: 140
Runner Episode: 14	Loss: 2.001171	Accuracy: 0.380 	 Current Training Data Per Class: 140
Runner Episode: 15	Loss: 2.020152	Accuracy: 0.210 	 Current Training Data Per Class: 140
Runner Episode: 16	Loss: 2.100718	Accuracy: 0.200 	 Current Training Data Per Class: 140
Runner Episode: 17	Loss: 1.611319	Accuracy: 0.210 	 Current Training Data Per Class: 140
Runner Episode: 18	Loss: 1.712055	Accuracy: 0.400 	 Current Training Data Per Class: 140
Runner Episode: 19	Loss: 1.710841	Accuracy: 0.350 	 Current Training Data Per Class: 140
Runner Episode: 20	Loss: 2.597814	Accuracy: 0.200 	 Current Training Data Per Class: 140
