Runner Episode: 1	Loss: 0.572401	Accuracy: 0.790 	 Current Training Data Per Class: 80
Runner Episode: 2	Loss: 0.462595	Accuracy: 0.820 	 Current Training Data Per Class: 80
Runner Episode: 3	Loss: 0.295765	Accuracy: 0.920 	 Current Training Data Per Class: 80
Runner Episode: 4	Loss: 0.655560	Accuracy: 0.790 	 Current Training Data Per Class: 80
Runner Episode: 5	Loss: 0.622683	Accuracy: 0.780 	 Current Training Data Per Class: 80
Runner Episode: 6	Loss: 0.516779	Accuracy: 0.870 	 Current Training Data Per Class: 80
Runner Episode: 7	Loss: 0.379066	Accuracy: 0.870 	 Current Training Data Per Class: 80
Runner Episode: 8	Loss: 0.212984	Accuracy: 0.930 	 Current Training Data Per Class: 80
Runner Episode: 9	Loss: 0.488745	Accuracy: 0.840 	 Current Training Data Per Class: 80
Runner Episode: 10	Loss: 0.274727	Accuracy: 0.880 	 Current Training Data Per Class: 80
Runner Episode: 11	Loss: 0.401771	Accuracy: 0.860 	 Current Training Data Per Class: 80
Runner Episode: 12	Loss: 0.215643	Accuracy: 0.920 	 Current Training Data Per Class: 80
Runner Episode: 13	Loss: 0.154396	Accuracy: 0.930 	 Current Training Data Per Class: 80
Runner Episode: 14	Loss: 0.650998	Accuracy: 0.740 	 Current Training Data Per Class: 80
Runner Episode: 15	Loss: 0.318287	Accuracy: 0.860 	 Current Training Data Per Class: 80
Runner Episode: 16	Loss: 0.269999	Accuracy: 0.880 	 Current Training Data Per Class: 80
Runner Episode: 17	Loss: 0.178114	Accuracy: 0.950 	 Current Training Data Per Class: 80
Runner Episode: 18	Loss: 0.351966	Accuracy: 0.910 	 Current Training Data Per Class: 80
Runner Episode: 19	Loss: 0.567690	Accuracy: 0.780 	 Current Training Data Per Class: 80
Runner Episode: 20	Loss: 0.384359	Accuracy: 0.860 	 Current Training Data Per Class: 80
Runner Episode: 21	Loss: 0.659765	Accuracy: 0.720 	 Current Training Data Per Class: 80
Runner Episode: 22	Loss: 0.544560	Accuracy: 0.840 	 Current Training Data Per Class: 80
Runner Episode: 23	Loss: 0.511805	Accuracy: 0.840 	 Current Training Data Per Class: 80
Runner Episode: 24	Loss: 0.381026	Accuracy: 0.860 	 Current Training Data Per Class: 80
Runner Episode: 25	Loss: 0.634073	Accuracy: 0.770 	 Current Training Data Per Class: 80
Runner Episode: 26	Loss: 0.319278	Accuracy: 0.910 	 Current Training Data Per Class: 80
Runner Episode: 27	Loss: 0.707134	Accuracy: 0.790 	 Current Training Data Per Class: 80
Runner Episode: 28	Loss: 0.471011	Accuracy: 0.820 	 Current Training Data Per Class: 80
Runner Episode: 29	Loss: 0.386566	Accuracy: 0.870 	 Current Training Data Per Class: 80
Runner Episode: 30	Loss: 0.269435	Accuracy: 0.910 	 Current Training Data Per Class: 80
Runner Episode: 31	Loss: 0.510251	Accuracy: 0.800 	 Current Training Data Per Class: 80
Runner Episode: 32	Loss: 0.140543	Accuracy: 0.960 	 Current Training Data Per Class: 80
Runner Episode: 33	Loss: 0.363943	Accuracy: 0.900 	 Current Training Data Per Class: 80
Runner Episode: 34	Loss: 0.343782	Accuracy: 0.900 	 Current Training Data Per Class: 80
Runner Episode: 35	Loss: 0.286593	Accuracy: 0.930 	 Current Training Data Per Class: 80
Runner Episode: 36	Loss: 0.527201	Accuracy: 0.790 	 Current Training Data Per Class: 80
Runner Episode: 37	Loss: 0.467467	Accuracy: 0.860 	 Current Training Data Per Class: 80
Runner Episode: 38	Loss: 0.637547	Accuracy: 0.820 	 Current Training Data Per Class: 80
Runner Episode: 39	Loss: 0.513153	Accuracy: 0.860 	 Current Training Data Per Class: 80
Runner Episode: 40	Loss: 0.518048	Accuracy: 0.810 	 Current Training Data Per Class: 80
Runner Episode: 41	Loss: 0.499672	Accuracy: 0.830 	 Current Training Data Per Class: 80
Runner Episode: 42	Loss: 0.376454	Accuracy: 0.840 	 Current Training Data Per Class: 80
Runner Episode: 43	Loss: 0.669786	Accuracy: 0.730 	 Current Training Data Per Class: 80
Runner Episode: 44	Loss: 0.830942	Accuracy: 0.740 	 Current Training Data Per Class: 80
Runner Episode: 45	Loss: 0.547370	Accuracy: 0.750 	 Current Training Data Per Class: 80
Runner Episode: 46	Loss: 0.223683	Accuracy: 0.920 	 Current Training Data Per Class: 80
Runner Episode: 47	Loss: 0.489736	Accuracy: 0.800 	 Current Training Data Per Class: 80
Runner Episode: 48	Loss: 0.184018	Accuracy: 0.930 	 Current Training Data Per Class: 80
Runner Episode: 49	Loss: 0.248515	Accuracy: 0.930 	 Current Training Data Per Class: 80
Runner Episode: 50	Loss: 0.719700	Accuracy: 0.710 	 Current Training Data Per Class: 80
