Runner Episode: 1	Loss: 0.498248	Accuracy: 0.860 	 Current Training Data Per Class: 150
Runner Episode: 2	Loss: 0.714875	Accuracy: 0.790 	 Current Training Data Per Class: 150
Runner Episode: 3	Loss: 0.584711	Accuracy: 0.840 	 Current Training Data Per Class: 150
Runner Episode: 4	Loss: 0.853011	Accuracy: 0.780 	 Current Training Data Per Class: 150
Runner Episode: 5	Loss: 0.329736	Accuracy: 0.900 	 Current Training Data Per Class: 150
Runner Episode: 6	Loss: 0.672230	Accuracy: 0.920 	 Current Training Data Per Class: 150
Runner Episode: 7	Loss: 0.771398	Accuracy: 0.840 	 Current Training Data Per Class: 150
Runner Episode: 8	Loss: 0.402597	Accuracy: 0.900 	 Current Training Data Per Class: 150
Runner Episode: 9	Loss: 0.679465	Accuracy: 0.790 	 Current Training Data Per Class: 150
Runner Episode: 10	Loss: 0.506676	Accuracy: 0.830 	 Current Training Data Per Class: 150
Runner Episode: 11	Loss: 0.518495	Accuracy: 0.850 	 Current Training Data Per Class: 150
Runner Episode: 12	Loss: 0.770698	Accuracy: 0.760 	 Current Training Data Per Class: 150
Runner Episode: 13	Loss: 0.433433	Accuracy: 0.900 	 Current Training Data Per Class: 150
Runner Episode: 14	Loss: 0.743747	Accuracy: 0.780 	 Current Training Data Per Class: 150
Runner Episode: 15	Loss: 0.771533	Accuracy: 0.760 	 Current Training Data Per Class: 150
Runner Episode: 16	Loss: 0.579066	Accuracy: 0.830 	 Current Training Data Per Class: 150
Runner Episode: 17	Loss: 0.913256	Accuracy: 0.780 	 Current Training Data Per Class: 150
Runner Episode: 18	Loss: 1.454393	Accuracy: 0.470 	 Current Training Data Per Class: 150
Runner Episode: 19	Loss: 0.626815	Accuracy: 0.830 	 Current Training Data Per Class: 150
Runner Episode: 20	Loss: 0.666810	Accuracy: 0.790 	 Current Training Data Per Class: 150
