Train Episode: 1	Loss: 1.979506	Accuracy: 0.290	 Current training data: 80
Train Episode: 2	Loss: 1.552726	Accuracy: 0.390	 Current training data: 80
Train Episode: 3	Loss: 1.825863	Accuracy: 0.400	 Current training data: 80
Train Episode: 4	Loss: 1.501063	Accuracy: 0.390	 Current training data: 80
Train Episode: 5	Loss: 1.996183	Accuracy: 0.390	 Current training data: 80
Train Episode: 6	Loss: 1.515933	Accuracy: 0.400	 Current training data: 80
Train Episode: 7	Loss: 1.536714	Accuracy: 0.390	 Current training data: 80
Train Episode: 8	Loss: 2.420520	Accuracy: 0.240	 Current training data: 80
Train Episode: 9	Loss: 1.243897	Accuracy: 0.480	 Current training data: 80
Train Episode: 10	Loss: 1.440001	Accuracy: 0.220	 Current training data: 80
Train Episode: 11	Loss: 1.164292	Accuracy: 0.670	 Current training data: 80
Train Episode: 12	Loss: 1.544832	Accuracy: 0.490	 Current training data: 80
Train Episode: 13	Loss: 1.984798	Accuracy: 0.270	 Current training data: 80
Train Episode: 14	Loss: 1.347096	Accuracy: 0.500	 Current training data: 80
Train Episode: 15	Loss: 3.233965	Accuracy: 0.190	 Current training data: 80
Train Episode: 16	Loss: 0.804843	Accuracy: 0.570	 Current training data: 80
Train Episode: 17	Loss: 1.132488	Accuracy: 0.520	 Current training data: 80
Train Episode: 18	Loss: 2.549384	Accuracy: 0.260	 Current training data: 80
Train Episode: 19	Loss: 1.343973	Accuracy: 0.430	 Current training data: 80
Train Episode: 20	Loss: 1.562305	Accuracy: 0.340	 Current training data: 80
