Train Episode: 1	Loss: 0.766593	Accuracy: 0.720	 Current training data: 80
Train Episode: 2	Loss: 1.443098	Accuracy: 0.330	 Current training data: 80
Train Episode: 3	Loss: 1.224101	Accuracy: 0.550	 Current training data: 80
Train Episode: 4	Loss: 0.969901	Accuracy: 0.690	 Current training data: 80
Train Episode: 5	Loss: 1.521563	Accuracy: 0.390	 Current training data: 80
Train Episode: 6	Loss: 1.280158	Accuracy: 0.520	 Current training data: 80
Train Episode: 7	Loss: 1.292622	Accuracy: 0.510	 Current training data: 80
Train Episode: 8	Loss: 0.763213	Accuracy: 0.600	 Current training data: 80
Train Episode: 9	Loss: 1.179479	Accuracy: 0.490	 Current training data: 80
Train Episode: 10	Loss: 1.369621	Accuracy: 0.400	 Current training data: 80
Train Episode: 11	Loss: 0.532501	Accuracy: 0.880	 Current training data: 80
Train Episode: 12	Loss: 0.952839	Accuracy: 0.730	 Current training data: 80
Train Episode: 13	Loss: 1.598649	Accuracy: 0.310	 Current training data: 80
Train Episode: 14	Loss: 1.213684	Accuracy: 0.550	 Current training data: 80
Train Episode: 15	Loss: 1.183484	Accuracy: 0.470	 Current training data: 80
Train Episode: 16	Loss: 0.993645	Accuracy: 0.800	 Current training data: 80
Train Episode: 17	Loss: 1.263518	Accuracy: 0.380	 Current training data: 80
Train Episode: 18	Loss: 0.986961	Accuracy: 0.660	 Current training data: 80
Train Episode: 19	Loss: 1.661444	Accuracy: 0.210	 Current training data: 80
Train Episode: 20	Loss: 1.204656	Accuracy: 0.420	 Current training data: 80
