Runner Episode: 1	Loss: 0.310352	Accuracy: 0.870 	 Current Training Data Per Class: 110
Runner Episode: 2	Loss: 0.570755	Accuracy: 0.720 	 Current Training Data Per Class: 110
Runner Episode: 3	Loss: 0.229264	Accuracy: 0.920 	 Current Training Data Per Class: 110
Runner Episode: 4	Loss: 0.775134	Accuracy: 0.750 	 Current Training Data Per Class: 110
Runner Episode: 5	Loss: 0.229584	Accuracy: 0.920 	 Current Training Data Per Class: 110
Runner Episode: 6	Loss: 0.491045	Accuracy: 0.850 	 Current Training Data Per Class: 110
Runner Episode: 7	Loss: 0.506050	Accuracy: 0.840 	 Current Training Data Per Class: 110
Runner Episode: 8	Loss: 0.357021	Accuracy: 0.920 	 Current Training Data Per Class: 110
Runner Episode: 9	Loss: 0.532842	Accuracy: 0.850 	 Current Training Data Per Class: 110
Runner Episode: 10	Loss: 0.443016	Accuracy: 0.840 	 Current Training Data Per Class: 110
Runner Episode: 11	Loss: 0.353783	Accuracy: 0.880 	 Current Training Data Per Class: 110
Runner Episode: 12	Loss: 0.413205	Accuracy: 0.850 	 Current Training Data Per Class: 110
Runner Episode: 13	Loss: 0.437017	Accuracy: 0.850 	 Current Training Data Per Class: 110
Runner Episode: 14	Loss: 0.397957	Accuracy: 0.840 	 Current Training Data Per Class: 110
Runner Episode: 15	Loss: 0.302580	Accuracy: 0.860 	 Current Training Data Per Class: 110
Runner Episode: 16	Loss: 0.821359	Accuracy: 0.740 	 Current Training Data Per Class: 110
Runner Episode: 17	Loss: 0.410167	Accuracy: 0.860 	 Current Training Data Per Class: 110
Runner Episode: 18	Loss: 0.699393	Accuracy: 0.700 	 Current Training Data Per Class: 110
Runner Episode: 19	Loss: 0.478945	Accuracy: 0.850 	 Current Training Data Per Class: 110
Runner Episode: 20	Loss: 0.422804	Accuracy: 0.840 	 Current Training Data Per Class: 110
