Runner Episode: 1	Loss: 1.919376	Accuracy: 0.240 	 Current Training Data Per Class: 10
Runner Episode: 2	Loss: 2.113821	Accuracy: 0.230 	 Current Training Data Per Class: 10
Runner Episode: 3	Loss: 2.547578	Accuracy: 0.250 	 Current Training Data Per Class: 10
Runner Episode: 4	Loss: 2.319277	Accuracy: 0.210 	 Current Training Data Per Class: 10
Runner Episode: 5	Loss: 2.394737	Accuracy: 0.210 	 Current Training Data Per Class: 10
Runner Episode: 6	Loss: 2.362101	Accuracy: 0.140 	 Current Training Data Per Class: 10
Runner Episode: 7	Loss: 2.010147	Accuracy: 0.240 	 Current Training Data Per Class: 10
Runner Episode: 8	Loss: 2.167939	Accuracy: 0.210 	 Current Training Data Per Class: 10
Runner Episode: 9	Loss: 2.510931	Accuracy: 0.210 	 Current Training Data Per Class: 10
Runner Episode: 10	Loss: 2.288639	Accuracy: 0.390 	 Current Training Data Per Class: 10
Runner Episode: 11	Loss: 2.072719	Accuracy: 0.230 	 Current Training Data Per Class: 10
Runner Episode: 12	Loss: 1.980373	Accuracy: 0.240 	 Current Training Data Per Class: 10
Runner Episode: 13	Loss: 2.506274	Accuracy: 0.120 	 Current Training Data Per Class: 10
Runner Episode: 14	Loss: 1.907274	Accuracy: 0.290 	 Current Training Data Per Class: 10
Runner Episode: 15	Loss: 2.216229	Accuracy: 0.210 	 Current Training Data Per Class: 10
Runner Episode: 16	Loss: 2.002568	Accuracy: 0.600 	 Current Training Data Per Class: 10
Runner Episode: 17	Loss: 1.751889	Accuracy: 0.290 	 Current Training Data Per Class: 10
Runner Episode: 18	Loss: 1.975525	Accuracy: 0.250 	 Current Training Data Per Class: 10
Runner Episode: 19	Loss: 1.925505	Accuracy: 0.260 	 Current Training Data Per Class: 10
Runner Episode: 20	Loss: 2.431792	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 21	Loss: 2.134785	Accuracy: 0.220 	 Current Training Data Per Class: 10
Runner Episode: 22	Loss: 2.437731	Accuracy: 0.210 	 Current Training Data Per Class: 10
Runner Episode: 23	Loss: 2.238103	Accuracy: 0.270 	 Current Training Data Per Class: 10
Runner Episode: 24	Loss: 2.158315	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 25	Loss: 2.268863	Accuracy: 0.180 	 Current Training Data Per Class: 10
Runner Episode: 26	Loss: 2.555300	Accuracy: 0.230 	 Current Training Data Per Class: 10
Runner Episode: 27	Loss: 2.361728	Accuracy: 0.190 	 Current Training Data Per Class: 10
Runner Episode: 28	Loss: 2.017771	Accuracy: 0.320 	 Current Training Data Per Class: 10
Runner Episode: 29	Loss: 2.166318	Accuracy: 0.260 	 Current Training Data Per Class: 10
Runner Episode: 30	Loss: 1.946959	Accuracy: 0.280 	 Current Training Data Per Class: 10
Runner Episode: 31	Loss: 1.712029	Accuracy: 0.340 	 Current Training Data Per Class: 10
Runner Episode: 32	Loss: 1.897233	Accuracy: 0.340 	 Current Training Data Per Class: 10
Runner Episode: 33	Loss: 2.111135	Accuracy: 0.170 	 Current Training Data Per Class: 10
Runner Episode: 34	Loss: 1.883645	Accuracy: 0.290 	 Current Training Data Per Class: 10
Runner Episode: 35	Loss: 1.926152	Accuracy: 0.390 	 Current Training Data Per Class: 10
Runner Episode: 36	Loss: 1.945503	Accuracy: 0.250 	 Current Training Data Per Class: 10
Runner Episode: 37	Loss: 2.182354	Accuracy: 0.210 	 Current Training Data Per Class: 10
Runner Episode: 38	Loss: 2.055023	Accuracy: 0.220 	 Current Training Data Per Class: 10
Runner Episode: 39	Loss: 2.391042	Accuracy: 0.220 	 Current Training Data Per Class: 10
Runner Episode: 40	Loss: 2.226036	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 41	Loss: 2.333440	Accuracy: 0.180 	 Current Training Data Per Class: 10
Runner Episode: 42	Loss: 2.102389	Accuracy: 0.250 	 Current Training Data Per Class: 10
Runner Episode: 43	Loss: 1.882822	Accuracy: 0.270 	 Current Training Data Per Class: 10
Runner Episode: 44	Loss: 1.857729	Accuracy: 0.290 	 Current Training Data Per Class: 10
Runner Episode: 45	Loss: 2.351133	Accuracy: 0.210 	 Current Training Data Per Class: 10
Runner Episode: 46	Loss: 1.482245	Accuracy: 0.380 	 Current Training Data Per Class: 10
Runner Episode: 47	Loss: 2.571138	Accuracy: 0.220 	 Current Training Data Per Class: 10
Runner Episode: 48	Loss: 1.917475	Accuracy: 0.320 	 Current Training Data Per Class: 10
Runner Episode: 49	Loss: 1.862382	Accuracy: 0.360 	 Current Training Data Per Class: 10
Runner Episode: 50	Loss: 2.292278	Accuracy: 0.160 	 Current Training Data Per Class: 10
