Runner Episode: 1	Loss: 0.574801	Accuracy: 0.840 	 Current Training Data Per Class: 180
Runner Episode: 2	Loss: 0.435291	Accuracy: 0.880 	 Current Training Data Per Class: 180
Runner Episode: 3	Loss: 0.358500	Accuracy: 0.890 	 Current Training Data Per Class: 180
Runner Episode: 4	Loss: 0.438659	Accuracy: 0.860 	 Current Training Data Per Class: 180
Runner Episode: 5	Loss: 0.522059	Accuracy: 0.760 	 Current Training Data Per Class: 180
Runner Episode: 6	Loss: 0.414446	Accuracy: 0.860 	 Current Training Data Per Class: 180
Runner Episode: 7	Loss: 0.410316	Accuracy: 0.820 	 Current Training Data Per Class: 180
Runner Episode: 8	Loss: 0.289300	Accuracy: 0.890 	 Current Training Data Per Class: 180
Runner Episode: 9	Loss: 0.421741	Accuracy: 0.860 	 Current Training Data Per Class: 180
Runner Episode: 10	Loss: 0.503286	Accuracy: 0.790 	 Current Training Data Per Class: 180
Runner Episode: 11	Loss: 0.667122	Accuracy: 0.770 	 Current Training Data Per Class: 180
Runner Episode: 12	Loss: 0.206638	Accuracy: 0.950 	 Current Training Data Per Class: 180
Runner Episode: 13	Loss: 0.356386	Accuracy: 0.880 	 Current Training Data Per Class: 180
Runner Episode: 14	Loss: 0.765312	Accuracy: 0.780 	 Current Training Data Per Class: 180
Runner Episode: 15	Loss: 0.516552	Accuracy: 0.810 	 Current Training Data Per Class: 180
Runner Episode: 16	Loss: 0.186930	Accuracy: 0.930 	 Current Training Data Per Class: 180
Runner Episode: 17	Loss: 0.203974	Accuracy: 0.930 	 Current Training Data Per Class: 180
Runner Episode: 18	Loss: 0.429992	Accuracy: 0.860 	 Current Training Data Per Class: 180
Runner Episode: 19	Loss: 1.179287	Accuracy: 0.660 	 Current Training Data Per Class: 180
Runner Episode: 20	Loss: 0.299977	Accuracy: 0.910 	 Current Training Data Per Class: 180
Runner Episode: 21	Loss: 0.690393	Accuracy: 0.750 	 Current Training Data Per Class: 180
Runner Episode: 22	Loss: 0.648610	Accuracy: 0.780 	 Current Training Data Per Class: 180
Runner Episode: 23	Loss: 0.445172	Accuracy: 0.820 	 Current Training Data Per Class: 180
Runner Episode: 24	Loss: 0.306879	Accuracy: 0.900 	 Current Training Data Per Class: 180
Runner Episode: 25	Loss: 0.851126	Accuracy: 0.680 	 Current Training Data Per Class: 180
Runner Episode: 26	Loss: 0.496986	Accuracy: 0.840 	 Current Training Data Per Class: 180
Runner Episode: 27	Loss: 0.308697	Accuracy: 0.920 	 Current Training Data Per Class: 180
Runner Episode: 28	Loss: 0.499543	Accuracy: 0.840 	 Current Training Data Per Class: 180
Runner Episode: 29	Loss: 0.678938	Accuracy: 0.730 	 Current Training Data Per Class: 180
Runner Episode: 30	Loss: 0.340045	Accuracy: 0.890 	 Current Training Data Per Class: 180
Runner Episode: 31	Loss: 0.530891	Accuracy: 0.830 	 Current Training Data Per Class: 180
Runner Episode: 32	Loss: 0.177847	Accuracy: 0.910 	 Current Training Data Per Class: 180
Runner Episode: 33	Loss: 0.413819	Accuracy: 0.880 	 Current Training Data Per Class: 180
Runner Episode: 34	Loss: 0.329898	Accuracy: 0.900 	 Current Training Data Per Class: 180
Runner Episode: 35	Loss: 0.346418	Accuracy: 0.850 	 Current Training Data Per Class: 180
Runner Episode: 36	Loss: 0.774141	Accuracy: 0.730 	 Current Training Data Per Class: 180
Runner Episode: 37	Loss: 0.303932	Accuracy: 0.870 	 Current Training Data Per Class: 180
Runner Episode: 38	Loss: 0.331059	Accuracy: 0.870 	 Current Training Data Per Class: 180
Runner Episode: 39	Loss: 0.623564	Accuracy: 0.830 	 Current Training Data Per Class: 180
Runner Episode: 40	Loss: 0.368980	Accuracy: 0.890 	 Current Training Data Per Class: 180
Runner Episode: 41	Loss: 0.772566	Accuracy: 0.710 	 Current Training Data Per Class: 180
Runner Episode: 42	Loss: 0.371651	Accuracy: 0.870 	 Current Training Data Per Class: 180
Runner Episode: 43	Loss: 0.411060	Accuracy: 0.870 	 Current Training Data Per Class: 180
Runner Episode: 44	Loss: 0.427250	Accuracy: 0.850 	 Current Training Data Per Class: 180
Runner Episode: 45	Loss: 0.394275	Accuracy: 0.830 	 Current Training Data Per Class: 180
Runner Episode: 46	Loss: 0.209898	Accuracy: 0.910 	 Current Training Data Per Class: 180
Runner Episode: 47	Loss: 0.588979	Accuracy: 0.790 	 Current Training Data Per Class: 180
Runner Episode: 48	Loss: 0.295717	Accuracy: 0.920 	 Current Training Data Per Class: 180
Runner Episode: 49	Loss: 0.447849	Accuracy: 0.820 	 Current Training Data Per Class: 180
Runner Episode: 50	Loss: 0.730086	Accuracy: 0.720 	 Current Training Data Per Class: 180
