Train Episode: 1	Loss: 0.971205	Accuracy: 0.630	 Current training data: 80
Train Episode: 2	Loss: 1.011856	Accuracy: 0.510	 Current training data: 80
Train Episode: 3	Loss: 0.915522	Accuracy: 0.870	 Current training data: 80
Train Episode: 4	Loss: 1.452611	Accuracy: 0.300	 Current training data: 80
Train Episode: 5	Loss: 1.318382	Accuracy: 0.270	 Current training data: 80
Train Episode: 6	Loss: 1.189482	Accuracy: 0.530	 Current training data: 80
Train Episode: 7	Loss: 0.982850	Accuracy: 0.620	 Current training data: 80
Train Episode: 8	Loss: 1.338623	Accuracy: 0.500	 Current training data: 80
Train Episode: 9	Loss: 1.188597	Accuracy: 0.610	 Current training data: 80
Train Episode: 10	Loss: 0.618238	Accuracy: 0.830	 Current training data: 80
Train Episode: 11	Loss: 1.085628	Accuracy: 0.570	 Current training data: 80
Train Episode: 12	Loss: 1.365738	Accuracy: 0.460	 Current training data: 80
Train Episode: 13	Loss: 1.193008	Accuracy: 0.530	 Current training data: 80
Train Episode: 14	Loss: 1.184319	Accuracy: 0.510	 Current training data: 80
Train Episode: 15	Loss: 0.963565	Accuracy: 0.670	 Current training data: 80
Train Episode: 16	Loss: 0.967218	Accuracy: 0.480	 Current training data: 80
Train Episode: 17	Loss: 0.851902	Accuracy: 0.790	 Current training data: 80
Train Episode: 18	Loss: 1.271654	Accuracy: 0.590	 Current training data: 80
Train Episode: 19	Loss: 1.417071	Accuracy: 0.450	 Current training data: 80
Train Episode: 20	Loss: 1.182656	Accuracy: 0.520	 Current training data: 80
