Train Episode: 1	Loss: 1.196830	Accuracy: 0.640	 Current training data: 60
Train Episode: 2	Loss: 1.223567	Accuracy: 0.570	 Current training data: 60
Train Episode: 3	Loss: 1.241674	Accuracy: 0.610	 Current training data: 60
Train Episode: 4	Loss: 1.503877	Accuracy: 0.410	 Current training data: 60
Train Episode: 5	Loss: 1.203071	Accuracy: 0.590	 Current training data: 60
Train Episode: 6	Loss: 1.409016	Accuracy: 0.420	 Current training data: 60
Train Episode: 7	Loss: 1.158798	Accuracy: 0.480	 Current training data: 60
Train Episode: 8	Loss: 1.423681	Accuracy: 0.470	 Current training data: 60
Train Episode: 9	Loss: 1.355811	Accuracy: 0.580	 Current training data: 60
Train Episode: 10	Loss: 0.781465	Accuracy: 0.680	 Current training data: 60
Train Episode: 11	Loss: 1.299410	Accuracy: 0.590	 Current training data: 60
Train Episode: 12	Loss: 1.418074	Accuracy: 0.360	 Current training data: 60
Train Episode: 13	Loss: 1.347408	Accuracy: 0.430	 Current training data: 60
Train Episode: 14	Loss: 1.258886	Accuracy: 0.520	 Current training data: 60
Train Episode: 15	Loss: 1.166152	Accuracy: 0.620	 Current training data: 60
Train Episode: 16	Loss: 1.279737	Accuracy: 0.520	 Current training data: 60
Train Episode: 17	Loss: 1.064079	Accuracy: 0.600	 Current training data: 60
Train Episode: 18	Loss: 1.471626	Accuracy: 0.220	 Current training data: 60
Train Episode: 19	Loss: 1.473605	Accuracy: 0.490	 Current training data: 60
Train Episode: 20	Loss: 1.307347	Accuracy: 0.470	 Current training data: 60
