Train Episode: 1	Loss: 0.983816	Accuracy: 0.600	 Current training data: 70
Train Episode: 2	Loss: 1.181324	Accuracy: 0.520	 Current training data: 70
Train Episode: 3	Loss: 1.114045	Accuracy: 0.550	 Current training data: 70
Train Episode: 4	Loss: 1.400273	Accuracy: 0.480	 Current training data: 70
Train Episode: 5	Loss: 1.527211	Accuracy: 0.260	 Current training data: 70
Train Episode: 6	Loss: 1.553596	Accuracy: 0.480	 Current training data: 70
Train Episode: 7	Loss: 1.126487	Accuracy: 0.400	 Current training data: 70
Train Episode: 8	Loss: 1.373908	Accuracy: 0.360	 Current training data: 70
Train Episode: 9	Loss: 1.323753	Accuracy: 0.320	 Current training data: 70
Train Episode: 10	Loss: 1.281320	Accuracy: 0.400	 Current training data: 70
Train Episode: 11	Loss: 1.173501	Accuracy: 0.490	 Current training data: 70
Train Episode: 12	Loss: 1.342431	Accuracy: 0.360	 Current training data: 70
Train Episode: 13	Loss: 1.407416	Accuracy: 0.440	 Current training data: 70
Train Episode: 14	Loss: 1.078217	Accuracy: 0.440	 Current training data: 70
Train Episode: 15	Loss: 1.117953	Accuracy: 0.480	 Current training data: 70
Train Episode: 16	Loss: 1.069938	Accuracy: 0.520	 Current training data: 70
Train Episode: 17	Loss: 1.171273	Accuracy: 0.420	 Current training data: 70
Train Episode: 18	Loss: 1.174392	Accuracy: 0.500	 Current training data: 70
Train Episode: 19	Loss: 1.268525	Accuracy: 0.580	 Current training data: 70
Train Episode: 20	Loss: 1.192227	Accuracy: 0.550	 Current training data: 70
