Train Episode: 1	Loss: 1.076298	Accuracy: 0.690	 Current training data: 60
Train Episode: 2	Loss: 1.200415	Accuracy: 0.470	 Current training data: 60
Train Episode: 3	Loss: 1.645704	Accuracy: 0.380	 Current training data: 60
Train Episode: 4	Loss: 1.614045	Accuracy: 0.430	 Current training data: 60
Train Episode: 5	Loss: 1.641267	Accuracy: 0.330	 Current training data: 60
Train Episode: 6	Loss: 1.352350	Accuracy: 0.470	 Current training data: 60
Train Episode: 7	Loss: 1.063289	Accuracy: 0.470	 Current training data: 60
Train Episode: 8	Loss: 1.264390	Accuracy: 0.440	 Current training data: 60
Train Episode: 9	Loss: 1.559113	Accuracy: 0.200	 Current training data: 60
Train Episode: 10	Loss: 0.878769	Accuracy: 0.610	 Current training data: 60
Train Episode: 11	Loss: 1.558134	Accuracy: 0.280	 Current training data: 60
Train Episode: 12	Loss: 1.529905	Accuracy: 0.440	 Current training data: 60
Train Episode: 13	Loss: 1.280110	Accuracy: 0.460	 Current training data: 60
Train Episode: 14	Loss: 1.234990	Accuracy: 0.490	 Current training data: 60
Train Episode: 15	Loss: 1.108498	Accuracy: 0.490	 Current training data: 60
Train Episode: 16	Loss: 1.261319	Accuracy: 0.510	 Current training data: 60
Train Episode: 17	Loss: 1.007160	Accuracy: 0.560	 Current training data: 60
Train Episode: 18	Loss: 1.694116	Accuracy: 0.220	 Current training data: 60
Train Episode: 19	Loss: 1.475745	Accuracy: 0.470	 Current training data: 60
Train Episode: 20	Loss: 1.509906	Accuracy: 0.200	 Current training data: 60
