Train Episode: 1	Loss: 1.655716	Accuracy: 0.230	 Current training data: 20
Train Episode: 2	Loss: 1.681322	Accuracy: 0.200	 Current training data: 20
Train Episode: 3	Loss: 1.668550	Accuracy: 0.200	 Current training data: 20
Train Episode: 4	Loss: 1.638258	Accuracy: 0.200	 Current training data: 20
Train Episode: 5	Loss: 1.656463	Accuracy: 0.200	 Current training data: 20
Train Episode: 6	Loss: 1.643011	Accuracy: 0.200	 Current training data: 20
Train Episode: 7	Loss: 1.642639	Accuracy: 0.250	 Current training data: 20
Train Episode: 8	Loss: 1.731276	Accuracy: 0.200	 Current training data: 20
Train Episode: 9	Loss: 1.680270	Accuracy: 0.220	 Current training data: 20
Train Episode: 10	Loss: 1.646597	Accuracy: 0.200	 Current training data: 20
Train Episode: 11	Loss: 1.747742	Accuracy: 0.200	 Current training data: 20
Train Episode: 12	Loss: 1.320711	Accuracy: 0.410	 Current training data: 20
Train Episode: 13	Loss: 1.346905	Accuracy: 0.400	 Current training data: 20
Train Episode: 14	Loss: 1.329954	Accuracy: 0.400	 Current training data: 20
Train Episode: 15	Loss: 1.614513	Accuracy: 0.200	 Current training data: 20
Train Episode: 16	Loss: 1.357732	Accuracy: 0.400	 Current training data: 20
Train Episode: 17	Loss: 1.673956	Accuracy: 0.200	 Current training data: 20
Train Episode: 18	Loss: 1.624853	Accuracy: 0.350	 Current training data: 20
Train Episode: 19	Loss: 1.657799	Accuracy: 0.200	 Current training data: 20
Train Episode: 20	Loss: 1.657663	Accuracy: 0.350	 Current training data: 20
