Train Episode: 1	Loss: 1.689592	Accuracy: 0.320	 Current training data: 10
Train Episode: 2	Loss: 1.580166	Accuracy: 0.400	 Current training data: 10
Train Episode: 3	Loss: 1.376870	Accuracy: 0.210	 Current training data: 10
Train Episode: 4	Loss: 1.093886	Accuracy: 0.530	 Current training data: 10
Train Episode: 5	Loss: 1.514317	Accuracy: 0.380	 Current training data: 10
Train Episode: 6	Loss: 1.567830	Accuracy: 0.350	 Current training data: 10
Train Episode: 7	Loss: 1.196059	Accuracy: 0.480	 Current training data: 10
Train Episode: 8	Loss: 1.542689	Accuracy: 0.410	 Current training data: 10
Train Episode: 9	Loss: 1.828862	Accuracy: 0.260	 Current training data: 10
Train Episode: 10	Loss: 1.210005	Accuracy: 0.410	 Current training data: 10
Train Episode: 11	Loss: 1.570173	Accuracy: 0.260	 Current training data: 10
Train Episode: 12	Loss: 1.692227	Accuracy: 0.230	 Current training data: 10
Train Episode: 13	Loss: 1.710891	Accuracy: 0.200	 Current training data: 10
Train Episode: 14	Loss: 1.478262	Accuracy: 0.590	 Current training data: 10
Train Episode: 15	Loss: 1.455354	Accuracy: 0.370	 Current training data: 10
Train Episode: 16	Loss: 1.443015	Accuracy: 0.360	 Current training data: 10
Train Episode: 17	Loss: 1.589034	Accuracy: 0.210	 Current training data: 10
Train Episode: 18	Loss: 2.015559	Accuracy: 0.340	 Current training data: 10
Train Episode: 19	Loss: 1.565270	Accuracy: 0.360	 Current training data: 10
Train Episode: 20	Loss: 1.628034	Accuracy: 0.200	 Current training data: 10
