Runner Episode: 1	Loss: 0.385830	Accuracy: 0.880 	 Current Training Data Per Class: 225
Runner Episode: 2	Loss: 0.437033	Accuracy: 0.880 	 Current Training Data Per Class: 225
Runner Episode: 3	Loss: 0.307585	Accuracy: 0.910 	 Current Training Data Per Class: 225
Runner Episode: 4	Loss: 0.876785	Accuracy: 0.710 	 Current Training Data Per Class: 225
Runner Episode: 5	Loss: 0.334279	Accuracy: 0.900 	 Current Training Data Per Class: 225
Runner Episode: 6	Loss: 0.792432	Accuracy: 0.770 	 Current Training Data Per Class: 225
Runner Episode: 7	Loss: 0.352125	Accuracy: 0.870 	 Current Training Data Per Class: 225
Runner Episode: 8	Loss: 0.317694	Accuracy: 0.910 	 Current Training Data Per Class: 225
Runner Episode: 9	Loss: 0.252017	Accuracy: 0.940 	 Current Training Data Per Class: 225
Runner Episode: 10	Loss: 0.234051	Accuracy: 0.910 	 Current Training Data Per Class: 225
Runner Episode: 11	Loss: 0.873914	Accuracy: 0.710 	 Current Training Data Per Class: 225
Runner Episode: 12	Loss: 0.610323	Accuracy: 0.810 	 Current Training Data Per Class: 225
Runner Episode: 13	Loss: 0.392545	Accuracy: 0.870 	 Current Training Data Per Class: 225
Runner Episode: 14	Loss: 0.222515	Accuracy: 0.940 	 Current Training Data Per Class: 225
Runner Episode: 15	Loss: 0.332973	Accuracy: 0.860 	 Current Training Data Per Class: 225
Runner Episode: 16	Loss: 0.664971	Accuracy: 0.830 	 Current Training Data Per Class: 225
Runner Episode: 17	Loss: 0.191571	Accuracy: 0.880 	 Current Training Data Per Class: 225
Runner Episode: 18	Loss: 0.946325	Accuracy: 0.750 	 Current Training Data Per Class: 225
Runner Episode: 19	Loss: 0.422083	Accuracy: 0.890 	 Current Training Data Per Class: 225
Runner Episode: 20	Loss: 0.519443	Accuracy: 0.830 	 Current Training Data Per Class: 225
Runner Episode: 21	Loss: 0.231919	Accuracy: 0.930 	 Current Training Data Per Class: 225
Runner Episode: 22	Loss: 0.383174	Accuracy: 0.870 	 Current Training Data Per Class: 225
Runner Episode: 23	Loss: 0.179180	Accuracy: 0.930 	 Current Training Data Per Class: 225
Runner Episode: 24	Loss: 0.807026	Accuracy: 0.780 	 Current Training Data Per Class: 225
Runner Episode: 25	Loss: 0.275005	Accuracy: 0.870 	 Current Training Data Per Class: 225
Runner Episode: 26	Loss: 0.265591	Accuracy: 0.920 	 Current Training Data Per Class: 225
Runner Episode: 27	Loss: 0.465441	Accuracy: 0.840 	 Current Training Data Per Class: 225
Runner Episode: 28	Loss: 0.179507	Accuracy: 0.960 	 Current Training Data Per Class: 225
Runner Episode: 29	Loss: 0.391098	Accuracy: 0.880 	 Current Training Data Per Class: 225
Runner Episode: 30	Loss: 0.440174	Accuracy: 0.860 	 Current Training Data Per Class: 225
Runner Episode: 31	Loss: 0.270904	Accuracy: 0.920 	 Current Training Data Per Class: 225
Runner Episode: 32	Loss: 0.287102	Accuracy: 0.890 	 Current Training Data Per Class: 225
Runner Episode: 33	Loss: 0.243588	Accuracy: 0.910 	 Current Training Data Per Class: 225
Runner Episode: 34	Loss: 0.290619	Accuracy: 0.890 	 Current Training Data Per Class: 225
Runner Episode: 35	Loss: 0.256250	Accuracy: 0.900 	 Current Training Data Per Class: 225
Runner Episode: 36	Loss: 0.343282	Accuracy: 0.860 	 Current Training Data Per Class: 225
Runner Episode: 37	Loss: 0.390310	Accuracy: 0.870 	 Current Training Data Per Class: 225
Runner Episode: 38	Loss: 0.473938	Accuracy: 0.880 	 Current Training Data Per Class: 225
Runner Episode: 39	Loss: 0.430306	Accuracy: 0.780 	 Current Training Data Per Class: 225
Runner Episode: 40	Loss: 0.548810	Accuracy: 0.850 	 Current Training Data Per Class: 225
Runner Episode: 41	Loss: 0.303113	Accuracy: 0.900 	 Current Training Data Per Class: 225
Runner Episode: 42	Loss: 0.396196	Accuracy: 0.900 	 Current Training Data Per Class: 225
Runner Episode: 43	Loss: 0.506090	Accuracy: 0.870 	 Current Training Data Per Class: 225
Runner Episode: 44	Loss: 0.862213	Accuracy: 0.760 	 Current Training Data Per Class: 225
Runner Episode: 45	Loss: 0.341851	Accuracy: 0.880 	 Current Training Data Per Class: 225
Runner Episode: 46	Loss: 0.339907	Accuracy: 0.860 	 Current Training Data Per Class: 225
Runner Episode: 47	Loss: 0.730882	Accuracy: 0.750 	 Current Training Data Per Class: 225
Runner Episode: 48	Loss: 0.369271	Accuracy: 0.910 	 Current Training Data Per Class: 225
Runner Episode: 49	Loss: 1.189076	Accuracy: 0.720 	 Current Training Data Per Class: 225
Runner Episode: 50	Loss: 0.222868	Accuracy: 0.930 	 Current Training Data Per Class: 225
Runner Episode: 51	Loss: 0.498192	Accuracy: 0.830 	 Current Training Data Per Class: 225
Runner Episode: 52	Loss: 0.289942	Accuracy: 0.880 	 Current Training Data Per Class: 225
Runner Episode: 53	Loss: 0.563276	Accuracy: 0.790 	 Current Training Data Per Class: 225
Runner Episode: 54	Loss: 0.239812	Accuracy: 0.930 	 Current Training Data Per Class: 225
