Episode: 1: [ 0.42269123 -0.16545129 -0.39128825  0.04802361 -0.16702662] 
Episode: 11: [ 0.42276567 -0.16588174 -0.3913627   0.04794919 -0.16710111] 
Episode: 21: [ 0.42276567 -0.16615762 -0.3913627   0.04794919 -0.16710111] 
Episode: 31: [ 0.42276567 -0.16627006 -0.3913627   0.04794919 -0.16710111] 
Episode: 41: [ 0.42276567 -0.16631429 -0.3913627   0.04794919 -0.16710111] 
Episode: 51: [ 0.42276567 -0.16633195 -0.3913627   0.04794919 -0.16710111] 
Episode: 61: [ 0.42276567 -0.16633889 -0.3913627   0.04794919 -0.16710111] 
Episode: 71: [ 0.42276567 -0.16634154 -0.3913627   0.04794919 -0.16710111] 
Episode: 81: [ 0.42276567 -0.16634169 -0.3913627   0.04794919 -0.16710111] 
Episode: 91: [ 0.42276567 -0.16634169 -0.3913627   0.04794919 -0.16710111] 
Episode: 101: [ 0.42276567 -0.16634169 -0.3913627   0.04794919 -0.16710111] 
Episode: 111: [ 0.42276567 -0.16634169 -0.3913627   0.04794919 -0.16710111] 
Episode: 121: [ 0.42276567 -0.16634169 -0.3913627   0.04794919 -0.16710111] 
Episode: 131: [ 0.42276567 -0.16634169 -0.3913627   0.04794919 -0.16710111] 
