Episode: 1: [-0.00099999 -0.00099999 -0.00099999 -0.00099999  0.00099999] 
Episode: 11: [-0.00363488 -0.00365298 -0.00368525 -0.00379562  0.00369264] 
Episode: 21: [-0.00080793 -0.00082653 -0.00086001 -0.00097458  0.00086767] 
Episode: 31: [ 0.0002831   0.00026429  0.00023022  0.00011358 -0.00022242] 
Episode: 41: [ 0.00071193  0.00069303  0.00065863  0.00054081 -0.00065074] 
Episode: 51: [ 0.0008784   0.00085944  0.00082481  0.00070612 -0.00081684] 
Episode: 61: [ 0.00094191  0.00092291  0.00088808  0.00076853 -0.00088002] 
Episode: 71: [ 0.00096557  0.00094666  0.0009117   0.0007914  -0.00090349] 
Episode: 81: [ 0.00097465  0.00095588  0.00092084  0.00079993 -0.0009125 ] 
Episode: 91: [ 0.0009776   0.00095882  0.00092355  0.00080161 -0.00091508] 
Episode: 101: [ 0.00097824  0.00095942  0.00092392  0.00080105 -0.00091535] 
Episode: 111: [ 0.00097857  0.00095984  0.00092416  0.0008003  -0.00091542] 
Episode: 121: [ 0.000979    0.00096032  0.00092443  0.0007995  -0.00091553] 
Episode: 131: [ 0.00097786  0.00095895  0.00092272  0.00079667 -0.00091378] 
Episode: 141: [ 0.00097583  0.0009568   0.00092028  0.000793   -0.00091122] 
Episode: 151: [ 0.00097668  0.0009576   0.00092082  0.00079233 -0.00091162] 
Episode: 161: [ 0.00097687  0.00095771  0.00092071  0.00079123 -0.0009114 ] 
Episode: 171: [ 0.0009752   0.00095594  0.00091867  0.00078813 -0.00090927] 
Episode: 181: [ 0.00097499  0.00095562  0.00091805  0.00078631 -0.00090854] 
Episode: 191: [ 0.00097617  0.00095658  0.00091852  0.00078496 -0.00090888] 
Episode: 201: [ 0.0009743   0.00095467  0.0009163   0.00078137 -0.0009065 ] 
Episode: 211: [ 0.00097428  0.00095464  0.00091604  0.00078013 -0.00090612] 
Episode: 221: [ 0.00097238  0.0009527   0.0009138   0.00077669 -0.00090376] 
Episode: 231: [ 0.00097027  0.00095051  0.00091136  0.0007732  -0.00090121] 
Episode: 241: [ 0.00096803  0.00094825  0.00090887  0.0007696  -0.00089857] 
Episode: 251: [ 0.00096766  0.00094799  0.0009084   0.00076808 -0.00089793] 
Episode: 261: [ 0.00096846  0.00094876  0.00090879  0.00076707 -0.00089819] 
Episode: 271: [ 0.00096901  0.00094886  0.00090834  0.00076507 -0.00089776] 
Episode: 281: [ 0.00096987  0.00094933  0.00090824  0.00076293 -0.00089756] 
Episode: 291: [ 0.0009679   0.00094702  0.0009053   0.00075768 -0.00089447] 
Episode: 301: [ 0.00096772  0.00094654  0.00090412  0.00075405 -0.00089313] 
Episode: 311: [ 0.00097164  0.00095036  0.00090758  0.00075578 -0.00089639] 
Episode: 321: [ 0.00097334  0.00095199  0.000909    0.00075577 -0.00089758] 
Episode: 331: [ 0.00097371  0.00095234  0.00090899  0.00075422 -0.0008974 ] 
Episode: 341: [ 0.0009737   0.00095201  0.00090804  0.00075139 -0.00089639] 
Episode: 351: [ 0.00097148  0.00094944  0.00090493  0.00074651 -0.00089322] 
Episode: 361: [ 0.00096549  0.0009431   0.00089805  0.00073777 -0.00088626] 
Episode: 371: [ 0.00095682  0.000934    0.00088827  0.00072571 -0.00087638] 
Episode: 381: [ 0.00095369  0.00093075  0.00088452  0.00072013 -0.00087248] 
Episode: 391: [ 0.00095303  0.00093003  0.00088353  0.00071784 -0.00087133] 
Episode: 401: [ 0.00095302  0.0009298   0.00088295  0.00071591 -0.00087066] 
Episode: 411: [ 0.0009503   0.00092688  0.00087963  0.00071143 -0.00086731] 
Episode: 421: [ 0.00094561  0.00092185  0.00087415  0.00070422 -0.00086173] 
Episode: 431: [ 0.00094576  0.0009216   0.00087335  0.00070127 -0.0008608 ] 
Episode: 441: [ 0.00094717  0.00092259  0.00087377  0.00069976 -0.00086115] 
Episode: 451: [ 0.000948    0.00092305  0.00087375  0.00069816 -0.00086109] 
Episode: 461: [ 0.00094342  0.00091858  0.00086898  0.00069205 -0.00085612] 
Episode: 471: [ 0.00093884  0.00091421  0.00086446  0.00068652 -0.00085138] 
Episode: 481: [ 0.00093594  0.00091117  0.00086101  0.00068152 -0.0008478 ] 
Episode: 491: [ 0.00093503  0.00091     0.00085922  0.00067765 -0.00084589] 
Episode: 501: [ 0.00093599  0.00091053  0.00085919  0.00067599 -0.00084587] 
Episode: 511: [ 0.00093615  0.00090997  0.00085776  0.00067229 -0.00084452] 
Episode: 521: [ 0.00094065  0.00091406  0.00086116  0.00067399 -0.00084796] 
Episode: 531: [ 0.00094153  0.00091446  0.00086082  0.00067159 -0.00084763] 
Episode: 541: [ 0.00093744  0.00091002  0.00085572  0.0006644  -0.00084245] 
Episode: 551: [ 0.00093264  0.00090498  0.00085013  0.00065677 -0.00083671] 
Episode: 561: [ 0.0009276   0.00089986  0.00084453  0.0006493  -0.00083093] 
Episode: 571: [ 0.00092483  0.00089688  0.00084112  0.00064418 -0.00082738] 
Episode: 581: [ 0.00092474  0.00089653  0.00084013  0.00064137 -0.00082634] 
Episode: 591: [ 0.00091343  0.00088496  0.00082785  0.00062718 -0.00081403] 
Episode: 601: [ 0.00089772  0.00086864  0.00081055  0.00060706 -0.00079671] 
Episode: 611: [ 0.00088465  0.00085488  0.0007958   0.00058965 -0.000782  ] 
Episode: 621: [ 0.00088118  0.0008512   0.0007917   0.00058441 -0.00077789] 
Episode: 631: [ 0.00087887  0.00084883  0.00078898  0.00058039 -0.00077505] 
Episode: 641: [ 0.00087989  0.00084974  0.00078956  0.00058    -0.0007756 ] 
Episode: 651: [ 0.00088422  0.00085384  0.00079322  0.00058238 -0.00077923] 
Episode: 661: [ 0.00087832  0.00084763  0.00078643  0.00057385 -0.00077239] 
Episode: 671: [ 0.00087141  0.00084007  0.000778    0.00056337 -0.00076408] 
Episode: 681: [ 0.00086339  0.00083143  0.00076863  0.00055194 -0.00075475] 
Episode: 691: [ 0.00085814  0.00082561  0.00076216  0.00054363 -0.00074831] 
Episode: 701: [ 0.00085081  0.00081812  0.0007543   0.00053436 -0.00074034] 
Episode: 711: [ 0.00083974  0.0008071   0.00074304  0.00052173 -0.00072886] 
Episode: 721: [ 0.00083467  0.00080196  0.00073731  0.00051382 -0.00072292] 
Episode: 731: [ 0.00082874  0.00079575  0.00073043  0.00050483 -0.00071594] 
Episode: 741: [ 0.00082163  0.00078863  0.00072308  0.00049667 -0.00070852] 
Episode: 751: [ 0.00081442  0.00078093  0.00071472  0.00048651 -0.00070019] 
Episode: 761: [ 0.00080867  0.00077455  0.00070772  0.00047754 -0.0006932 ] 
Episode: 771: [ 0.00080079  0.00076642  0.00069926  0.00046777 -0.00068465] 
Episode: 781: [ 0.00080026  0.0007653   0.00069745  0.00046416 -0.00068291] 
Episode: 791: [ 0.00080152  0.00076576  0.00069697  0.00046197 -0.0006827 ] 
Episode: 801: [ 0.00080006  0.00076365  0.00069405  0.0004574  -0.00067996] 
Episode: 811: [ 0.00079843  0.00076138  0.00069102  0.00045267 -0.00067707] 
Episode: 821: [ 0.00079991  0.0007621   0.0006909   0.00045082 -0.00067716] 
Episode: 831: [ 0.00080072  0.00076208  0.0006899   0.00044802 -0.00067644] 
Episode: 841: [ 0.00080422  0.00076467  0.00069135  0.00044714 -0.00067814] 
Episode: 851: [ 0.00080947  0.00076886  0.00069417  0.00044725 -0.00068127] 
Episode: 861: [ 0.00080774  0.00076625  0.00069029  0.00044068 -0.00067762] 
Episode: 871: [ 0.00080368  0.00076156  0.00068468  0.00043299 -0.00067213] 
Episode: 881: [ 0.00080599  0.00076308  0.00068528  0.00043157 -0.00067292] 
Episode: 891: [ 0.00080648  0.00076294  0.00068433  0.00042882 -0.00067211] 
Episode: 901: [ 0.000798    0.0007539   0.00067452  0.00041732 -0.00066243] 
Episode: 911: [ 0.00080298  0.000758    0.00067761  0.00041865 -0.00066584] 
Episode: 921: [ 0.00079411  0.00074841  0.0006671   0.00040628 -0.00065553] 
Episode: 931: [ 0.00078559  0.00073918  0.00065702  0.00039434 -0.00064561] 
Episode: 941: [ 0.00078586  0.00073869  0.00065571  0.00039142 -0.00064453] 
Episode: 951: [ 0.00079285  0.00074409  0.00065983  0.00039347 -0.00064921] 
Episode: 961: [ 0.00079544  0.00074574  0.00066068  0.00039272 -0.00065032] 
Episode: 971: [ 0.00079603  0.00074594  0.00066026  0.00039089 -0.00064998] 
Episode: 981: [ 0.00079325  0.0007428   0.0006567   0.00038635 -0.00064648] 
Episode: 991: [ 0.00079336  0.000742    0.00065498  0.00038263 -0.00064498] 
Episode: 1001: [ 0.00080135  0.00074855  0.00066021  0.00038513 -0.0006506 ] 
Episode: 1011: [ 0.00081005  0.00075594  0.00066649  0.00038913 -0.00065723] 
Episode: 1021: [ 0.00081721  0.00076229  0.00067212  0.00039315 -0.00066304] 
Episode: 1031: [ 0.0008191   0.00076353  0.00067275  0.00039214 -0.00066376] 
Episode: 1041: [ 0.00081641  0.00076018  0.00066873  0.00038654 -0.00065987] 
Episode: 1051: [ 0.000818    0.00076111  0.00066901  0.00038543 -0.00066031] 
Episode: 1061: [ 0.00082779  0.00077028  0.00067762  0.0003927  -0.00066904] 
Episode: 1071: [ 0.0008341   0.00077618  0.00068311  0.0003971  -0.00067458] 
Episode: 1081: [ 0.00083386  0.00077521  0.00068144  0.00039404 -0.00067312] 
Episode: 1091: [ 0.00083123  0.00077192  0.00067741  0.00038838 -0.00066924] 
Episode: 1101: [ 0.00082452  0.00076436  0.00066894  0.00037808 -0.00066101] 
Episode: 1111: [ 0.00082608  0.0007647   0.0006681   0.00037514 -0.00066058] 
Episode: 1121: [ 0.0008297   0.00076687  0.00066895  0.00037397 -0.00066198] 
Episode: 1131: [ 0.00082399  0.00076024  0.00066133  0.00036452 -0.00065466] 
Episode: 1141: [ 0.0008213   0.0007569   0.00065727  0.00035881 -0.00065074] 
Episode: 1151: [ 0.00081985  0.00075461  0.00065418  0.00035394 -0.00064784] 
Episode: 1161: [ 0.00082116  0.00075521  0.00065413  0.00035244 -0.00064796] 
Episode: 1171: [ 0.00081644  0.00075027  0.00064893  0.00034652 -0.00064277] 
Episode: 1181: [ 0.00081164  0.00074508  0.00064329  0.00033984 -0.00063721] 
Episode: 1191: [ 0.00081231  0.00074531  0.00064299  0.00033814 -0.00063695] 
Episode: 1201: [ 0.00081609  0.00074827  0.00064513  0.00033859 -0.00063931] 
Episode: 1211: [ 0.00081034  0.00074158  0.00063765  0.00032935 -0.00063205] 
Episode: 1221: [ 0.00079693  0.00072716  0.00062225  0.00031178 -0.00061689] 
Episode: 1231: [ 0.00080079  0.00072976  0.0006238   0.00031138 -0.00061882] 
Episode: 1241: [ 0.00081262  0.00074049  0.00063365  0.00031992 -0.00062908] 
Episode: 1251: [ 0.00082583  0.00075216  0.00064422  0.00032897 -0.00064024] 
Episode: 1261: [ 0.00082317  0.00074851  0.00063981  0.0003232  -0.00063614] 
Episode: 1271: [ 0.00081813  0.00074289  0.0006336   0.00031576 -0.00063009] 
Episode: 1281: [ 0.00081561  0.00073924  0.00062874  0.00030881 -0.00062563] 
Episode: 1291: [ 0.00081294  0.00073536  0.00062363  0.00030136 -0.00062089] 
Episode: 1301: [ 0.00081663  0.00073882  0.00062681  0.00030359 -0.00062404] 
Episode: 1311: [ 0.00082384  0.00074547  0.00063299  0.00030864 -0.00063034] 
Episode: 1321: [ 0.00083339  0.00075426  0.00064113  0.0003155  -0.00063869] 
Episode: 1331: [ 0.00083886  0.00075833  0.00064403  0.00031669 -0.00064213] 
Episode: 1341: [ 0.00083962  0.00075787  0.00064264  0.00031426 -0.00064128] 
Episode: 1351: [ 0.00083878  0.00075605  0.00064001  0.00031034 -0.000639  ] 
Episode: 1361: [ 0.00082939  0.00074599  0.00062941  0.00029894 -0.00062865] 
Episode: 1371: [ 0.00082517  0.00074206  0.0006257   0.00029543 -0.00062481] 
Episode: 1381: [ 0.00082314  0.00074033  0.00062427  0.00029442 -0.00062325] 
Episode: 1391: [ 0.00081493  0.00073177  0.00061553  0.00028551 -0.00061465] 
Episode: 1401: [ 0.00080695  0.00072263  0.00060537  0.00027384 -0.00060494] 
Episode: 1411: [ 0.00081464  0.00072949  0.00061145  0.00027843 -0.00061127] 
Episode: 1421: [ 0.00081249  0.00072814  0.00061058  0.00027715 -0.00060985] 
Episode: 1431: [ 0.00081117  0.0007266   0.00060891  0.0002747  -0.00060812] 
Episode: 1441: [ 0.00080942  0.00072401  0.00060563  0.00027029 -0.00060513] 
Episode: 1451: [ 0.00081196  0.00072539  0.00060581  0.00026851 -0.00060574] 
Episode: 1461: [ 0.00079836  0.0007109   0.00059006  0.00024989 -0.00059017] 
Episode: 1471: [ 0.0007911   0.0007026   0.00058061  0.000238   -0.00058098] 
Episode: 1481: [ 0.00078523  0.00069593  0.00057312  0.0002289  -0.00057373] 
Episode: 1491: [ 0.00078114  0.00069087  0.00056726  0.00022208 -0.00056829] 
Episode: 1501: [ 0.00077192  0.0006808   0.00055626  0.00020972 -0.00055766] 
Episode: 1511: [ 0.00076237  0.00067045  0.00054555  0.00019875 -0.00054727] 
Episode: 1521: [ 0.00075936  0.00066616  0.0005401   0.00019153 -0.00054231] 
Episode: 1531: [ 0.000767    0.00067235  0.00054527  0.00019592 -0.00054818] 
Episode: 1541: [ 0.00076718  0.00067206  0.00054445  0.00019422 -0.00054754] 
Episode: 1551: [ 0.00075819  0.0006629   0.00053489  0.0001833  -0.0005379 ] 
Episode: 1561: [ 0.0007375   0.00064156  0.00051265  0.00015917 -0.00051583] 
Episode: 1571: [ 0.00072923  0.00063291  0.00050341  0.00014851 -0.00050664] 
Episode: 1581: [ 0.00072286  0.00062678  0.00049701  0.000141   -0.00050006] 
Episode: 1591: [ 0.00072464  0.00062955  0.00050022  0.00014429 -0.00050281] 
Episode: 1601: [ 0.00072908  0.00063333  0.00050336  0.00014615 -0.00050614] 
Episode: 1611: [ 0.00071753  0.00062135  0.00049062  0.00013173 -0.00049349] 
Episode: 1621: [ 0.00071055  0.00061375  0.00048216  0.00012117 -0.00048512] 
