Train Episode: 1	Loss: 3.887889	Accuracy: 0.100	Grad Norm: 9.344266	Training/Class: 18
Train Episode: 2	Loss: 3.961761	Accuracy: 0.030	Grad Norm: 11.769625	Training/Class: 8
Train Episode: 3	Loss: 3.992986	Accuracy: 0.000	Grad Norm: 12.321771	Training/Class: 11
Train Episode: 4	Loss: 3.797709	Accuracy: 0.030	Grad Norm: 96.793823	Training/Class: 56
Train Episode: 5	Loss: 3.985549	Accuracy: 0.000	Grad Norm: 980.738770	Training/Class: 51
Train Episode: 6	Loss: 3.913371	Accuracy: 0.010	Grad Norm: 22.207960	Training/Class: 47
Train Episode: 7	Loss: 3.956431	Accuracy: 0.000	Grad Norm: 15.111162	Training/Class: 11
Train Episode: 8	Loss: 3.690197	Accuracy: 0.060	Grad Norm: 6.788420	Training/Class: 14
Train Episode: 9	Loss: 3.963325	Accuracy: 0.000	Grad Norm: 12.233257	Training/Class: 24
Train Episode: 10	Loss: 3.909586	Accuracy: 0.000	Grad Norm: 11.854978	Training/Class: 7
Train Episode: 11	Loss: 4.046383	Accuracy: 0.030	Grad Norm: 59.940361	Training/Class: 55
Train Episode: 12	Loss: 3.765156	Accuracy: 0.010	Grad Norm: 10.090618	Training/Class: 50
Train Episode: 13	Loss: 4.426828	Accuracy: 0.000	Grad Norm: 234.105286	Training/Class: 68
Train Episode: 14	Loss: 3.604880	Accuracy: 0.050	Grad Norm: 93.016777	Training/Class: 62
Train Episode: 15	Loss: 4.067218	Accuracy: 0.010	Grad Norm: 75.252205	Training/Class: 69
Train Episode: 16	Loss: 4.123729	Accuracy: 0.000	Grad Norm: 35.328285	Training/Class: 32
Train Episode: 17	Loss: 4.235113	Accuracy: 0.000	Grad Norm: 9.331972	Training/Class: 5
Train Episode: 18	Loss: 3.943276	Accuracy: 0.020	Grad Norm: 38.872692	Training/Class: 51
Train Episode: 19	Loss: 3.905645	Accuracy: 0.000	Grad Norm: 25.899349	Training/Class: 65
Train Episode: 20	Loss: 3.907118	Accuracy: 0.020	Grad Norm: 16.624266	Training/Class: 43
Train Episode: 21	Loss: 3.773882	Accuracy: 0.030	Grad Norm: 10.840235	Training/Class: 45
Train Episode: 22	Loss: 3.944877	Accuracy: 0.000	Grad Norm: 19.633713	Training/Class: 28
Train Episode: 23	Loss: 3.925913	Accuracy: 0.020	Grad Norm: 9.889004	Training/Class: 11
Train Episode: 24	Loss: 3.658416	Accuracy: 0.010	Grad Norm: 23.304386	Training/Class: 65
Train Episode: 25	Loss: 4.000595	Accuracy: 0.020	Grad Norm: 10.661606	Training/Class: 9
Train Episode: 26	Loss: 3.907947	Accuracy: 0.060	Grad Norm: 33.082043	Training/Class: 61
Train Episode: 27	Loss: 3.945857	Accuracy: 0.010	Grad Norm: 11.399427	Training/Class: 48
Train Episode: 28	Loss: 3.983381	Accuracy: 0.010	Grad Norm: 29.306047	Training/Class: 57
Train Episode: 29	Loss: 3.941510	Accuracy: 0.000	Grad Norm: 21.955397	Training/Class: 69
Train Episode: 30	Loss: 3.969773	Accuracy: 0.040	Grad Norm: 46.569393	Training/Class: 61
Train Episode: 31	Loss: 3.995018	Accuracy: 0.000	Grad Norm: 24.634523	Training/Class: 35
Train Episode: 32	Loss: 3.944049	Accuracy: 0.000	Grad Norm: 15.290419	Training/Class: 48
Train Episode: 33	Loss: 3.957380	Accuracy: 0.010	Grad Norm: 10.087465	Training/Class: 38
Train Episode: 34	Loss: 3.972565	Accuracy: 0.000	Grad Norm: 6.605200	Training/Class: 43
Train Episode: 35	Loss: 3.839205	Accuracy: 0.000	Grad Norm: 18.664595	Training/Class: 44
Train Episode: 36	Loss: 3.783116	Accuracy: 0.000	Grad Norm: 17.476608	Training/Class: 64
Train Episode: 37	Loss: 3.762005	Accuracy: 0.000	Grad Norm: 7.827997	Training/Class: 46
Train Episode: 38	Loss: 3.880752	Accuracy: 0.040	Grad Norm: 6.036654	Training/Class: 29
Train Episode: 39	Loss: 3.913937	Accuracy: 0.050	Grad Norm: 5.199883	Training/Class: 20
Train Episode: 40	Loss: 3.862727	Accuracy: 0.040	Grad Norm: 5.603200	Training/Class: 12
Train Episode: 41	Loss: 3.929288	Accuracy: 0.000	Grad Norm: 7.329564	Training/Class: 22
Train Episode: 42	Loss: 3.940841	Accuracy: 0.000	Grad Norm: 19.883455	Training/Class: 41
Train Episode: 43	Loss: 4.011819	Accuracy: 0.030	Grad Norm: 38.825676	Training/Class: 27
Train Episode: 44	Loss: 4.015884	Accuracy: 0.000	Grad Norm: 35.717678	Training/Class: 27
Train Episode: 45	Loss: 3.855535	Accuracy: 0.000	Grad Norm: 11.635942	Training/Class: 47
Train Episode: 46	Loss: 3.748543	Accuracy: 0.030	Grad Norm: 10.565153	Training/Class: 66
Train Episode: 47	Loss: 3.903423	Accuracy: 0.000	Grad Norm: 24.059252	Training/Class: 61
Train Episode: 48	Loss: 3.995499	Accuracy: 0.000	Grad Norm: 22.700783	Training/Class: 48
Train Episode: 49	Loss: 3.903022	Accuracy: 0.110	Grad Norm: 16.100994	Training/Class: 28
Train Episode: 50	Loss: 3.975398	Accuracy: 0.000	Grad Norm: 47.594208	Training/Class: 69
Train Episode: 51	Loss: 3.889012	Accuracy: 0.020	Grad Norm: 31.185457	Training/Class: 66
Train Episode: 52	Loss: 3.838575	Accuracy: 0.020	Grad Norm: 5.847949	Training/Class: 31
Train Episode: 53	Loss: 3.984473	Accuracy: 0.000	Grad Norm: 22.809830	Training/Class: 61
Train Episode: 54	Loss: 3.760921	Accuracy: 0.030	Grad Norm: 26.550652	Training/Class: 60
Train Episode: 55	Loss: 4.012285	Accuracy: 0.000	Grad Norm: 29.127991	Training/Class: 58
Train Episode: 56	Loss: 3.820465	Accuracy: 0.080	Grad Norm: 17.415905	Training/Class: 43
Train Episode: 57	Loss: 3.908538	Accuracy: 0.070	Grad Norm: 13.149761	Training/Class: 22
Train Episode: 58	Loss: 3.966447	Accuracy: 0.010	Grad Norm: 28.323931	Training/Class: 56
Train Episode: 59	Loss: 3.923047	Accuracy: 0.000	Grad Norm: 11.102530	Training/Class: 51
Train Episode: 60	Loss: 3.766334	Accuracy: 0.060	Grad Norm: 25.415226	Training/Class: 51
Train Episode: 61	Loss: 3.921755	Accuracy: 0.020	Grad Norm: 7.892742	Training/Class: 13
Train Episode: 62	Loss: 3.839253	Accuracy: 0.010	Grad Norm: 10.253620	Training/Class: 58
Train Episode: 63	Loss: 3.940205	Accuracy: 0.020	Grad Norm: 23.090569	Training/Class: 26
Train Episode: 64	Loss: 3.914209	Accuracy: 0.040	Grad Norm: 18.158758	Training/Class: 52
Train Episode: 65	Loss: 3.893717	Accuracy: 0.090	Grad Norm: 2.470471	Training/Class: 20
Train Episode: 66	Loss: 4.075537	Accuracy: 0.000	Grad Norm: 39.414181	Training/Class: 53
Train Episode: 67	Loss: 3.893155	Accuracy: 0.030	Grad Norm: 10.363024	Training/Class: 55
Train Episode: 68	Loss: 3.969038	Accuracy: 0.080	Grad Norm: 15.574241	Training/Class: 32
Train Episode: 69	Loss: 3.766827	Accuracy: 0.050	Grad Norm: 6.916666	Training/Class: 41
Train Episode: 70	Loss: 3.880210	Accuracy: 0.000	Grad Norm: 50.709305	Training/Class: 61
Train Episode: 71	Loss: 3.666469	Accuracy: 0.150	Grad Norm: 1.450014	Training/Class: 6
Train Episode: 72	Loss: 3.953437	Accuracy: 0.040	Grad Norm: 7.185542	Training/Class: 22
Train Episode: 73	Loss: 3.934784	Accuracy: 0.020	Grad Norm: 5.052824	Training/Class: 14
Train Episode: 74	Loss: 3.891102	Accuracy: 0.030	Grad Norm: 5.007729	Training/Class: 44
