Episode: 1: [-0.00069999 -0.00069999  0.00069999] 
Episode: 11: [-0.0068979  -0.00683487  0.00687008] 
Episode: 21: [-0.01313083 -0.01295121  0.01304813] 
Episode: 31: [-0.01878171 -0.01831957  0.01857903] 
Episode: 41: [-0.02136615 -0.02012566  0.02082338] 
Episode: 51: [-0.02092156 -0.01923469  0.02019785] 
Episode: 61: [-0.02051321 -0.01806346  0.01948054] 
Episode: 71: [-0.01867558 -0.01536669  0.0172835 ] 
Episode: 81: [-0.01785324 -0.01417741  0.01630533] 
Episode: 91: [-0.01909602 -0.01567574  0.01766042] 
Episode: 101: [-0.02043295 -0.01750869  0.01921018] 
Episode: 111: [-0.02342046 -0.02092887  0.02238936] 
Episode: 121: [-0.02685409 -0.0245807   0.02592541] 
Episode: 131: [-0.03016113 -0.02779626  0.0292034 ] 
Episode: 141: [-0.03336802 -0.03119266  0.03249958] 
Episode: 151: [-0.03624815 -0.03405297  0.03537978] 
Episode: 161: [-0.03712584 -0.03400777  0.03585689] 
Episode: 171: [-0.03895655 -0.03502649  0.03733835] 
Episode: 181: [-0.04012489 -0.03571472  0.0383006 ] 
Episode: 191: [-0.04141727 -0.03645907  0.03935797] 
Episode: 201: [-0.04345316 -0.03823625  0.04128869] 
Episode: 211: [-0.04525907 -0.04015448  0.0431511 ] 
Episode: 221: [-0.04756572 -0.0427545   0.04559579] 
Episode: 231: [-0.04982853 -0.04511448  0.0479111 ] 
Episode: 241: [-0.05145832 -0.04681004  0.04957663] 
Episode: 251: [-0.05287582 -0.04832959  0.0510467 ] 
Episode: 261: [-0.05437183 -0.0501187   0.05268067] 
Episode: 271: [-0.05575069 -0.05133924  0.05399729] 
Episode: 281: [-0.05758364 -0.0527854   0.05567017] 
Episode: 291: [-0.06004478 -0.05495092  0.05801655] 
Episode: 301: [-0.06150354 -0.05617672  0.05938227] 
Episode: 311: [-0.06262425 -0.05753703  0.06061776] 
Episode: 321: [-0.06427345 -0.05926521  0.06231453] 
Episode: 331: [-0.06409147 -0.05704102  0.06118495] 
Episode: 341: [-0.06403028 -0.05661131  0.0609516 ] 
Episode: 351: [-0.06476866 -0.05725123  0.061655  ] 
Episode: 361: [-0.06618504 -0.05870433  0.0631097 ] 
Episode: 371: [-0.06757932 -0.06037249  0.0646525 ] 
Episode: 381: [-0.06859648 -0.06217699  0.06605154] 
Episode: 391: [-0.06994709 -0.06434484  0.06780338] 
Episode: 401: [-0.0713447  -0.06646746  0.06956024] 
Episode: 411: [-0.07263006 -0.06900833  0.07145096] 
Episode: 421: [-0.07399356 -0.07094729  0.07310484] 
Episode: 431: [-0.07160328 -0.06690663  0.06978343] 
Episode: 441: [-0.07101089 -0.06535029  0.06866975] 
Episode: 451: [-0.07184406 -0.06546957  0.06914458] 
Episode: 461: [-0.07258503 -0.06637891  0.06999056] 
Episode: 471: [-0.07312465 -0.06742469  0.0708091 ] 
Episode: 481: [-0.07348095 -0.06856261  0.07158576] 
Episode: 491: [-0.07428889 -0.0696656   0.07256754] 
Episode: 501: [-0.07525219 -0.07093926  0.07371653] 
Episode: 511: [-0.07610443 -0.07224781  0.07482907] 
Episode: 521: [-0.07671596 -0.07372849  0.07591359] 
Episode: 531: [-0.07762261 -0.07525879  0.07717041] 
Episode: 541: [-0.07835711 -0.07639398  0.07813343] 
Episode: 551: [-0.07897878 -0.07727733  0.07890763] 
Episode: 561: [-0.07908169 -0.0772983   0.07896956] 
Episode: 571: [-0.07952669 -0.07791678  0.07951654] 
Episode: 581: [-0.0801408  -0.07874661  0.0802589 ] 
Episode: 591: [-0.0807818  -0.07990567  0.08118881] 
