Train Episode: 1	Loss: 3.909370	Accuracy: 0.120	Grad Norm: 4.571588	Training/Class: 7
Train Episode: 2	Loss: 3.813486	Accuracy: 0.000	Grad Norm: 7.614151	Training/Class: 33
Train Episode: 3	Loss: 3.807536	Accuracy: 0.010	Grad Norm: 12.580022	Training/Class: 58
Train Episode: 4	Loss: 3.832973	Accuracy: 0.000	Grad Norm: 5.098897	Training/Class: 21
Train Episode: 5	Loss: 3.902952	Accuracy: 0.010	Grad Norm: 10.726827	Training/Class: 41
Train Episode: 6	Loss: 3.762852	Accuracy: 0.000	Grad Norm: 9.933548	Training/Class: 29
Train Episode: 7	Loss: 3.820650	Accuracy: 0.050	Grad Norm: 9.870480	Training/Class: 20
Train Episode: 8	Loss: 3.669795	Accuracy: 0.070	Grad Norm: 30.011923	Training/Class: 36
Train Episode: 9	Loss: 3.759521	Accuracy: 0.190	Grad Norm: 12.881290	Training/Class: 28
Train Episode: 10	Loss: 3.782615	Accuracy: 0.100	Grad Norm: 10.474632	Training/Class: 26
Train Episode: 11	Loss: 3.678007	Accuracy: 0.060	Grad Norm: 19.815567	Training/Class: 21
Train Episode: 12	Loss: 3.823841	Accuracy: 0.040	Grad Norm: 5.777897	Training/Class: 13
Train Episode: 13	Loss: 3.004187	Accuracy: 0.400	Grad Norm: 134.053864	Training/Class: 61
Train Episode: 14	Loss: 3.453759	Accuracy: 0.160	Grad Norm: 47.655777	Training/Class: 31
Train Episode: 15	Loss: 3.324908	Accuracy: 0.200	Grad Norm: 66.204964	Training/Class: 42
Train Episode: 16	Loss: 3.269976	Accuracy: 0.200	Grad Norm: 57.050785	Training/Class: 35
Train Episode: 17	Loss: 3.375560	Accuracy: 0.130	Grad Norm: 46.690193	Training/Class: 23
Train Episode: 18	Loss: 2.895379	Accuracy: 0.400	Grad Norm: 52.791794	Training/Class: 52
Train Episode: 19	Loss: 2.974366	Accuracy: 0.250	Grad Norm: 51.865971	Training/Class: 52
Train Episode: 20	Loss: 3.456340	Accuracy: 0.200	Grad Norm: 24.800404	Training/Class: 18
Train Episode: 21	Loss: 3.163015	Accuracy: 0.200	Grad Norm: 29.000000	Training/Class: 18
Train Episode: 22	Loss: 2.606984	Accuracy: 0.400	Grad Norm: 54.696651	Training/Class: 39
Train Episode: 23	Loss: 2.818068	Accuracy: 0.200	Grad Norm: 81.665512	Training/Class: 62
Train Episode: 24	Loss: 3.583069	Accuracy: 0.200	Grad Norm: 20.307425	Training/Class: 8
Train Episode: 25	Loss: 2.778665	Accuracy: 0.200	Grad Norm: 88.520004	Training/Class: 54
Train Episode: 26	Loss: 2.626544	Accuracy: 0.200	Grad Norm: 116.532646	Training/Class: 66
Train Episode: 27	Loss: 2.896708	Accuracy: 0.400	Grad Norm: 70.954353	Training/Class: 14
Train Episode: 28	Loss: 3.761736	Accuracy: 0.200	Grad Norm: 10.203753	Training/Class: 48
Train Episode: 29	Loss: 3.684932	Accuracy: 0.200	Grad Norm: 23.025290	Training/Class: 65
