Train Episode: 1	Loss: 3.890491	Accuracy: 0.020	Grad Norm: 6.741203	Training/Class: 19
Train Episode: 2	Loss: 3.892366	Accuracy: 0.000	Grad Norm: 8.018547	Training/Class: 25
Train Episode: 3	Loss: 3.826751	Accuracy: 0.030	Grad Norm: 8.919497	Training/Class: 65
Train Episode: 4	Loss: 3.833844	Accuracy: 0.000	Grad Norm: 9.292025	Training/Class: 61
Train Episode: 5	Loss: 3.915691	Accuracy: 0.000	Grad Norm: 7.712830	Training/Class: 35
Train Episode: 6	Loss: 3.836329	Accuracy: 0.150	Grad Norm: 3.227054	Training/Class: 17
Train Episode: 7	Loss: 3.789194	Accuracy: 0.210	Grad Norm: 5.229581	Training/Class: 17
Train Episode: 8	Loss: 3.916793	Accuracy: 0.000	Grad Norm: 7.849911	Training/Class: 48
Train Episode: 9	Loss: 3.803504	Accuracy: 0.090	Grad Norm: 4.937834	Training/Class: 20
Train Episode: 10	Loss: 3.721272	Accuracy: 0.090	Grad Norm: 18.268095	Training/Class: 35
Train Episode: 11	Loss: 3.769653	Accuracy: 0.130	Grad Norm: 13.804031	Training/Class: 39
Train Episode: 12	Loss: 3.608350	Accuracy: 0.400	Grad Norm: 40.535034	Training/Class: 54
Train Episode: 13	Loss: 3.831368	Accuracy: 0.030	Grad Norm: 6.265234	Training/Class: 20
Train Episode: 14	Loss: 3.542704	Accuracy: 0.200	Grad Norm: 35.929234	Training/Class: 27
Train Episode: 15	Loss: 3.671761	Accuracy: 0.300	Grad Norm: 46.442322	Training/Class: 55
Train Episode: 16	Loss: 3.400682	Accuracy: 0.200	Grad Norm: 134.096619	Training/Class: 63
Train Episode: 17	Loss: 2.941989	Accuracy: 0.200	Grad Norm: 226.132843	Training/Class: 67
Train Episode: 18	Loss: 3.893714	Accuracy: 0.000	Grad Norm: 2.994811	Training/Class: 7
Train Episode: 19	Loss: 3.327578	Accuracy: 0.200	Grad Norm: 62.283978	Training/Class: 24
Train Episode: 20	Loss: 3.243441	Accuracy: 0.200	Grad Norm: 38.013515	Training/Class: 24
Train Episode: 21	Loss: 2.761919	Accuracy: 0.200	Grad Norm: 41.170555	Training/Class: 48
Train Episode: 22	Loss: 3.378659	Accuracy: 0.200	Grad Norm: 25.011629	Training/Class: 22
Train Episode: 23	Loss: 2.660833	Accuracy: 0.260	Grad Norm: 35.789036	Training/Class: 43
Train Episode: 24	Loss: 2.613183	Accuracy: 0.200	Grad Norm: 58.591331	Training/Class: 64
Train Episode: 25	Loss: 2.684603	Accuracy: 0.200	Grad Norm: 29.851904	Training/Class: 38
Train Episode: 26	Loss: 2.714636	Accuracy: 0.200	Grad Norm: 49.077168	Training/Class: 41
Train Episode: 27	Loss: 2.628258	Accuracy: 0.200	Grad Norm: 64.919647	Training/Class: 59
Train Episode: 28	Loss: 2.650537	Accuracy: 0.200	Grad Norm: 48.001228	Training/Class: 47
Train Episode: 29	Loss: 2.246563	Accuracy: 0.200	Grad Norm: 61.124039	Training/Class: 40
Train Episode: 30	Loss: 2.381248	Accuracy: 0.200	Grad Norm: 86.268639	Training/Class: 56
Train Episode: 31	Loss: 2.226301	Accuracy: 0.200	Grad Norm: 189.773819	Training/Class: 63
Train Episode: 32	Loss: nan	Accuracy: 0.200	Grad Norm: nan	Training/Class: 53
