Episode: 1: [ 0.00069999 -0.00069995 -0.00069999 -0.00069999 -0.00069999] 
Episode: 11: [ 1.48572435e-05 -1.37428381e-03 -1.75447797e-03  8.83069355e-04
  1.37524767e-04] 
Episode: 21: [-1.1734236e-03 -7.2202808e-04 -6.1111568e-06 -1.8205572e-04
  8.1836944e-04] 
Episode: 31: [-1.5714261e-03 -4.1472353e-04 -1.5890473e-05 -4.3328939e-04
  1.3947538e-03] 
Episode: 41: [-0.00231077 -0.00177633 -0.00030757  0.00078395  0.00219915] 
Episode: 51: [-0.00281386 -0.00067168  0.00049765  0.0008542   0.00160608] 
Episode: 61: [-0.00335714 -0.00039005  0.00049125  0.00173063  0.00128764] 
Episode: 71: [-0.00400133 -0.00103731 -0.00029467  0.00299048  0.00187123] 
Episode: 81: [-0.00404775 -0.00121404 -0.00028308  0.00309225  0.00193204] 
Episode: 91: [-0.00379412 -0.0017993  -0.00051129  0.00301115  0.00223224] 
Episode: 101: [-0.0033739  -0.00235329 -0.0011282   0.00296501  0.00255159] 
Episode: 111: [-0.00307231 -0.00277889 -0.00138388  0.0029911   0.00256576] 
Episode: 121: [-0.00293477 -0.00337403 -0.00169003  0.00324293  0.00273229] 
Episode: 131: [-0.0027202  -0.00300273 -0.00157989  0.00292276  0.00242004] 
Episode: 141: [-0.00279196 -0.00284663 -0.00113094  0.00270067  0.00229255] 
Episode: 151: [-0.00280946 -0.00102902 -0.00071917  0.00234271  0.00104887] 
Episode: 161: [-0.00274225 -0.00054485 -0.00027365  0.00166553  0.00100979] 
Episode: 171: [-0.00202788 -0.0009377   0.0005479   0.00025469  0.00119424] 
Episode: 181: [-0.00093364 -0.00207547  0.00120798 -0.00122675  0.00150838] 
Episode: 191: [-0.0013554  -0.00351171  0.00183344 -0.00182734  0.00334152] 
Episode: 201: [-0.00203639 -0.00421456  0.00206991 -0.00161758  0.00442491] 
Episode: 211: [-0.00210957 -0.0048423   0.00240446 -0.00113939  0.00415944] 
Episode: 221: [-0.00099327 -0.00568526  0.00252718 -0.00122445  0.00307419] 
Episode: 231: [-0.00126872 -0.00505853  0.00265578 -0.00068527  0.00231376] 
Episode: 241: [-0.00477889 -0.00710245  0.00508864  0.00297136  0.00286691] 
Episode: 251: [-0.00726998 -0.00859557  0.00808781  0.00563878  0.00212704] 
Episode: 261: [-0.00930742 -0.01045925  0.01070817  0.00793542  0.0017306 ] 
Episode: 271: [-0.0124896  -0.00809749  0.01272886  0.00971011  0.00092537] 
Episode: 281: [-0.01500521 -0.00546495  0.01403506  0.01119062 -0.0001787 ] 
Episode: 291: [-0.01645955 -0.00313219  0.01449355  0.01181566 -0.00097528] 
Episode: 301: [-0.02385535  0.00426432  0.02178844  0.01371695  0.00529782] 
Episode: 311: [-0.02650229  0.00691376  0.02442244  0.01437837  0.00750075] 
Episode: 321: [-0.02742972  0.00783651  0.02533266  0.01460488  0.00832309] 
Episode: 331: [-0.02776539  0.00817594  0.02567947  0.01463222  0.00859337] 
Episode: 341: [-0.02786422  0.00826648  0.02571909  0.01475039  0.00876947] 
Episode: 351: [-0.02789886  0.00829951  0.02567828  0.01476744  0.0089353 ] 
Episode: 361: [-0.02790294  0.00830124  0.02563864  0.01471593  0.00905475] 
Episode: 371: [-0.02789732  0.00829524  0.02561992  0.0146298   0.00911945] 
Episode: 381: [-0.02786199  0.00824857  0.02552351  0.01464406  0.00923873] 
Episode: 391: [-0.02780731  0.00817146  0.02536187  0.01472488  0.00943699] 
Episode: 401: [-0.02779599  0.00815607  0.02531608  0.01475369  0.00949102] 
Episode: 411: [-0.02777927  0.00813707  0.02526679  0.01477225  0.00953366] 
Episode: 421: [-0.02779243  0.00815963  0.02529745  0.01465648  0.00953272] 
Episode: 431: [-0.02778389  0.00815099  0.02525739  0.01464396  0.00958765] 
Episode: 441: [-0.02775773  0.00811964  0.02518694  0.01459989  0.00968816] 
Episode: 451: [-0.02773873  0.00810578  0.02518362  0.01446507  0.00968915] 
Episode: 461: [-0.02771282  0.00807142  0.02513515  0.01462165  0.00966119] 
Episode: 471: [-0.02771389  0.00807194  0.02514111  0.0147626   0.00958218] 
Episode: 481: [-0.02774874  0.00812018  0.02524768  0.01474765  0.00943453] 
Episode: 491: [-0.02777602  0.0081626   0.02533031  0.01470415  0.00931566] 
Episode: 501: [-0.02779734  0.00819895  0.02543161  0.01472497  0.00911407] 
Episode: 511: [-0.02783111  0.00824738  0.02552625  0.01479416  0.0089347 ] 
Episode: 521: [-0.0278693   0.00830325  0.02564311  0.01473069  0.00878372] 
Episode: 531: [-0.02789783  0.00834338  0.02571043  0.01476929  0.00866868] 
Episode: 541: [-0.02796864  0.00845545  0.02595362  0.01476457  0.00824379] 
Episode: 551: [-0.02801318  0.00853263  0.02615734  0.01434235  0.00807571] 
Episode: 561: [-0.0280494   0.00859457  0.02635089  0.01357377  0.00811688] 
Episode: 571: [-0.02806712  0.00862767  0.02645625  0.01303235  0.00819219] 
Episode: 581: [-0.02808436  0.00865704  0.02653789  0.01274989  0.00818709] 
Episode: 591: [-0.02807332  0.0086366   0.02650949  0.01270529  0.0082738 ] 
Episode: 601: [-0.02806136  0.00862102  0.02646864  0.01264504  0.00836192] 
Episode: 611: [-0.02802366  0.00854494  0.02628714  0.01319306  0.00846878] 
Episode: 621: [-0.02802851  0.00853974  0.0262681   0.01364394  0.00832468] 
Episode: 631: [-0.02802341  0.00852867  0.02624281  0.01375459  0.00832475] 
Episode: 641: [-0.02800273  0.00849465  0.02616782  0.0139447   0.0083625 ] 
Episode: 651: [-0.02798472  0.00846514  0.02610875  0.01407182  0.00840399] 
Episode: 661: [-0.02798665  0.0084768   0.02614347  0.0139304   0.00837748] 
Episode: 671: [-0.02798594  0.00848501  0.02618059  0.01387507  0.00829799] 
Episode: 681: [-0.02800127  0.00851159  0.02623925  0.01394319  0.00814832] 
Episode: 691: [-0.02800433  0.00850705  0.02620787  0.01432506  0.00804604] 
Episode: 701: [-0.02799681  0.00848746  0.026179    0.01400106  0.0083026 ] 
Episode: 711: [-0.0279816   0.00846304  0.02612905  0.01397054  0.0084079 ] 
Episode: 721: [-0.02795599  0.00843631  0.02607793  0.0139132   0.00846413] 
Episode: 731: [-0.02796458  0.0084568   0.02609822  0.0139106   0.00839858] 
Episode: 741: [-0.02796498  0.00846508  0.02611321  0.01392789  0.00832799] 
Episode: 751: [-0.02798102  0.00849517  0.02619518  0.01377026  0.00824521] 
Episode: 761: [-0.02793826  0.0084281   0.02604378  0.01408892  0.0083403 ] 
Episode: 771: [-0.02789641  0.00837536  0.02596447  0.01433996  0.00828426] 
Episode: 781: [-0.02785163  0.0083153   0.02585661  0.01434378  0.00842141] 
