Train Episode: 1	Loss: 3.854254	Accuracy: 0.140	Current Training Data Per Class: 67
Train Episode: 2	Loss: 3.939006	Accuracy: 0.020	Current Training Data Per Class: 32
Train Episode: 3	Loss: 4.101984	Accuracy: 0.000	Current Training Data Per Class: 31
Train Episode: 4	Loss: 3.978810	Accuracy: 0.000	Current Training Data Per Class: 8
Train Episode: 5	Loss: 4.019731	Accuracy: 0.000	Current Training Data Per Class: 54
Train Episode: 6	Loss: 3.789332	Accuracy: 0.180	Current Training Data Per Class: 20
Train Episode: 7	Loss: 4.143445	Accuracy: 0.000	Current Training Data Per Class: 9
Train Episode: 8	Loss: 3.898427	Accuracy: 0.000	Current Training Data Per Class: 5
Train Episode: 9	Loss: 3.739056	Accuracy: 0.000	Current Training Data Per Class: 55
Train Episode: 10	Loss: 3.805162	Accuracy: 0.000	Current Training Data Per Class: 63
Train Episode: 11	Loss: 3.794322	Accuracy: 0.000	Current Training Data Per Class: 42
Train Episode: 12	Loss: 3.597093	Accuracy: 0.180	Current Training Data Per Class: 22
Train Episode: 13	Loss: 3.812795	Accuracy: 0.000	Current Training Data Per Class: 44
Train Episode: 14	Loss: 3.613028	Accuracy: 0.200	Current Training Data Per Class: 69
Train Episode: 15	Loss: 3.781811	Accuracy: 0.180	Current Training Data Per Class: 23
Train Episode: 16	Loss: 3.033918	Accuracy: 0.200	Current Training Data Per Class: 39
Train Episode: 17	Loss: 3.805800	Accuracy: 0.000	Current Training Data Per Class: 19
