Episode: 1: [ 0.00069999  0.00069999  0.00069999  0.00069999 -0.00069999] 
Episode: 11: [ 0.00024519 -0.00052711 -0.00186733 -0.00180438  0.0009156 ] 
Episode: 21: [-0.00588185 -0.00687606 -0.00833251 -0.00827266  0.00727949] 
Episode: 31: [-0.01250941 -0.01342756 -0.01454085 -0.0138955   0.01365908] 
Episode: 41: [-0.01508663 -0.01292367 -0.01511861 -0.01617233  0.01412093] 
Episode: 51: [-0.01909161 -0.01252247 -0.0149594  -0.01877903  0.01489182] 
Episode: 61: [-0.0209748  -0.01347481 -0.01592139 -0.0204406   0.0167186 ] 
Episode: 71: [-0.01831367 -0.01081389 -0.01326054 -0.01777979  0.01405769] 
Episode: 81: [-0.01731572 -0.00981601 -0.01226269 -0.01678195  0.01305982] 
Episode: 91: [-0.0169446  -0.00944493 -0.01189162 -0.01641087  0.01268873] 
Episode: 101: [-0.01680751 -0.00930785 -0.01175454 -0.0162738   0.01255166] 
Episode: 111: [-0.01675715 -0.00925749 -0.01170419 -0.01622345  0.01250129] 
Episode: 121: [-0.01673872 -0.00923907 -0.01168577 -0.01620503  0.01248288] 
Episode: 131: [-0.01673201 -0.00923236 -0.01167906 -0.01619832  0.01247616] 
Episode: 141: [-0.01672957 -0.00922992 -0.01167662 -0.01619588  0.01247373] 
Episode: 151: [-0.01672869 -0.00922904 -0.01167574 -0.016195    0.01247284] 
Episode: 161: [-0.01672837 -0.00922872 -0.01167542 -0.01619468  0.01247252] 
Episode: 171: [-0.01672826 -0.0092286  -0.0116753  -0.01619457  0.01247241] 
Episode: 181: [-0.01672822 -0.00922856 -0.01167526 -0.01619453  0.01247237] 
Episode: 191: [-0.0167282  -0.00922855 -0.01167525 -0.01619451  0.01247235] 
Episode: 201: [-0.0167282  -0.00922854 -0.01167524 -0.01619451  0.01247235] 
Episode: 211: [-0.0167282  -0.00922854 -0.01167524 -0.01619451  0.01247235] 
Episode: 221: [-0.0167282  -0.00922854 -0.01167524 -0.01619451  0.01247235] 
Episode: 231: [-0.0167282  -0.00922854 -0.01167524 -0.01619451  0.01247235] 
Episode: 241: [-0.0167282  -0.00922854 -0.01167524 -0.01619451  0.01247235] 
Episode: 251: [-0.0167282  -0.00922854 -0.01167524 -0.01619451  0.01247235] 
Episode: 261: [-0.0167282  -0.00922854 -0.01167524 -0.01619451  0.01247235] 
Episode: 271: [-0.0167282  -0.00922854 -0.01167524 -0.01619451  0.01247235] 
Episode: 281: [-0.0167282  -0.00922854 -0.01167524 -0.01619451  0.01247235] 
Episode: 291: [-0.0167282  -0.00922854 -0.01167524 -0.01619451  0.01247235] 
Episode: 301: [-0.0167282  -0.00922854 -0.01167524 -0.01619451  0.01247235] 
Episode: 311: [-0.0167282  -0.00922854 -0.01167524 -0.01619451  0.01247235] 
Episode: 321: [-0.0167282  -0.00922854 -0.01167524 -0.01619451  0.01247235] 
Episode: 331: [-0.0167282  -0.00922854 -0.01167524 -0.01619451  0.01247235] 
Episode: 341: [-0.0167282  -0.00922854 -0.01167524 -0.01619451  0.01247235] 
Episode: 351: [-0.0167282  -0.00922854 -0.01167524 -0.01619451  0.01247235] 
Episode: 361: [-0.0167282  -0.00922854 -0.01167524 -0.01619451  0.01247235] 
Episode: 371: [-0.0167282  -0.00922854 -0.01167524 -0.01619451  0.01247235] 
Episode: 381: [-0.0167282  -0.00922854 -0.01167524 -0.01619451  0.01247235] 
Episode: 391: [-0.0167282  -0.00922854 -0.01167524 -0.01619451  0.01247235] 
Episode: 401: [-0.0167282  -0.00922854 -0.01167524 -0.01619451  0.01247235] 
Episode: 411: [-0.0167282  -0.00922854 -0.01167524 -0.01619451  0.01247235] 
Episode: 421: [-0.0167282  -0.00922854 -0.01167524 -0.01619451  0.01247235] 
Episode: 431: [-0.0167282  -0.00922854 -0.01167524 -0.01619451  0.01247235] 
Episode: 441: [-0.0167282  -0.00922854 -0.01167524 -0.01619451  0.01247235] 
Episode: 451: [-0.0167282  -0.00922854 -0.01167524 -0.01619451  0.01247235] 
Episode: 461: [-0.0167282  -0.00922854 -0.01167524 -0.01619451  0.01247235] 
Episode: 471: [-0.0167282  -0.00922854 -0.01167524 -0.01619451  0.01247235] 
Episode: 481: [-0.0167282  -0.00922854 -0.01167524 -0.01619451  0.01247235] 
Episode: 491: [-0.0167282  -0.00922854 -0.01167524 -0.01619451  0.01247235] 
Episode: 501: [-0.0167282  -0.00922854 -0.01167524 -0.01619451  0.01247235] 
Episode: 511: [-0.0167282  -0.00922854 -0.01167524 -0.01619451  0.01247235] 
Episode: 521: [-0.0167282  -0.00922854 -0.01167524 -0.01619451  0.01247235] 
Episode: 531: [-0.0167282  -0.00922854 -0.01167524 -0.01619451  0.01247235] 
Episode: 541: [-0.0167282  -0.00922854 -0.01167524 -0.01619451  0.01247235] 
Episode: 551: [-0.0167282  -0.00922854 -0.01167524 -0.01619451  0.01247235] 
Episode: 561: [-0.0167282  -0.00922854 -0.01167524 -0.01619451  0.01247235] 
Episode: 571: [-0.0167282  -0.00922854 -0.01167524 -0.01619451  0.01247235] 
Episode: 581: [-0.0167282  -0.00922854 -0.01167524 -0.01619451  0.01247235] 
Episode: 591: [-0.0167282  -0.00922854 -0.01167524 -0.01619451  0.01247235] 
Episode: 601: [-0.0167282  -0.00922854 -0.01167524 -0.01619451  0.01247235] 
Episode: 611: [-0.0167282  -0.00922854 -0.01167524 -0.01619451  0.01247235] 
Episode: 621: [-0.0167282  -0.00922854 -0.01167524 -0.01619451  0.01247235] 
Episode: 631: [-0.0167282  -0.00922854 -0.01167524 -0.01619451  0.01247235] 
Episode: 641: [-0.0167282  -0.00922854 -0.01167524 -0.01619451  0.01247235] 
Episode: 651: [-0.0167282  -0.00922854 -0.01167524 -0.01619451  0.01247235] 
Episode: 661: [-0.0167282  -0.00922854 -0.01167524 -0.01619451  0.01247235] 
Episode: 671: [-0.0167282  -0.00922854 -0.01167524 -0.01619451  0.01247235] 
