Train Episode: 1	Loss: 0.788209	Accuracy: 0.670	Current Training Data Per Class 1: 67
Train Episode: 2	Loss: 0.604358	Accuracy: 0.830	Current Training Data Per Class 1: 82
Train Episode: 3	Loss: 0.499535	Accuracy: 0.850	Current Training Data Per Class 1: 80
Train Episode: 4	Loss: 0.764348	Accuracy: 0.700	Current Training Data Per Class 1: 53
Train Episode: 5	Loss: 0.558385	Accuracy: 0.830	Current Training Data Per Class 1: 81
Train Episode: 6	Loss: 1.142028	Accuracy: 0.590	Current Training Data Per Class 1: 84
Train Episode: 7	Loss: 0.435824	Accuracy: 0.860	Current Training Data Per Class 1: 59
Train Episode: 8	Loss: 0.496252	Accuracy: 0.860	Current Training Data Per Class 1: 51
Train Episode: 9	Loss: 0.787634	Accuracy: 0.760	Current Training Data Per Class 1: 78
Train Episode: 10	Loss: 0.675149	Accuracy: 0.710	Current Training Data Per Class 1: 46
Train Episode: 11	Loss: 0.611052	Accuracy: 0.840	Current Training Data Per Class 1: 69
Train Episode: 12	Loss: 0.462256	Accuracy: 0.860	Current Training Data Per Class 1: 32
Train Episode: 13	Loss: 0.815932	Accuracy: 0.770	Current Training Data Per Class 1: 75
Train Episode: 14	Loss: 0.656204	Accuracy: 0.810	Current Training Data Per Class 1: 49
Train Episode: 15	Loss: 0.884505	Accuracy: 0.700	Current Training Data Per Class 1: 79
Train Episode: 16	Loss: 0.654882	Accuracy: 0.790	Current Training Data Per Class 1: 35
Train Episode: 17	Loss: 0.555998	Accuracy: 0.780	Current Training Data Per Class 1: 32
Train Episode: 18	Loss: 0.463729	Accuracy: 0.870	Current Training Data Per Class 1: 46
Train Episode: 19	Loss: 0.468040	Accuracy: 0.830	Current Training Data Per Class 1: 77
Train Episode: 20	Loss: 0.354136	Accuracy: 0.880	Current Training Data Per Class 1: 64
Train Episode: 21	Loss: 0.778106	Accuracy: 0.770	Current Training Data Per Class 1: 44
Train Episode: 22	Loss: 0.517373	Accuracy: 0.860	Current Training Data Per Class 1: 73
Train Episode: 23	Loss: 0.791503	Accuracy: 0.700	Current Training Data Per Class 1: 42
Train Episode: 24	Loss: 0.495156	Accuracy: 0.830	Current Training Data Per Class 1: 58
Train Episode: 25	Loss: 0.329685	Accuracy: 0.920	Current Training Data Per Class 1: 86
Train Episode: 26	Loss: 0.680962	Accuracy: 0.740	Current Training Data Per Class 1: 86
Train Episode: 27	Loss: 0.334469	Accuracy: 0.920	Current Training Data Per Class 1: 72
Train Episode: 28	Loss: 0.468352	Accuracy: 0.850	Current Training Data Per Class 1: 55
Train Episode: 29	Loss: 0.388280	Accuracy: 0.840	Current Training Data Per Class 1: 41
Train Episode: 30	Loss: 0.506661	Accuracy: 0.880	Current Training Data Per Class 1: 42
Train Episode: 31	Loss: 0.470009	Accuracy: 0.860	Current Training Data Per Class 1: 57
Train Episode: 32	Loss: 0.290779	Accuracy: 0.930	Current Training Data Per Class 1: 69
Train Episode: 33	Loss: 0.805026	Accuracy: 0.700	Current Training Data Per Class 1: 59
Train Episode: 34	Loss: 0.678801	Accuracy: 0.800	Current Training Data Per Class 1: 36
Train Episode: 35	Loss: 0.396333	Accuracy: 0.880	Current Training Data Per Class 1: 84
Train Episode: 36	Loss: 0.780622	Accuracy: 0.710	Current Training Data Per Class 1: 50
Train Episode: 37	Loss: 0.819259	Accuracy: 0.710	Current Training Data Per Class 1: 61
Train Episode: 38	Loss: 0.887509	Accuracy: 0.680	Current Training Data Per Class 1: 62
Train Episode: 39	Loss: 0.379550	Accuracy: 0.880	Current Training Data Per Class 1: 85
Train Episode: 40	Loss: 0.427169	Accuracy: 0.860	Current Training Data Per Class 1: 34
Train Episode: 41	Loss: 0.419760	Accuracy: 0.890	Current Training Data Per Class 1: 82
Train Episode: 42	Loss: 0.228691	Accuracy: 0.920	Current Training Data Per Class 1: 87
Train Episode: 43	Loss: 0.425823	Accuracy: 0.850	Current Training Data Per Class 1: 43
Train Episode: 44	Loss: 0.632061	Accuracy: 0.790	Current Training Data Per Class 1: 56
Train Episode: 45	Loss: 0.669905	Accuracy: 0.800	Current Training Data Per Class 1: 52
Train Episode: 46	Loss: 0.541182	Accuracy: 0.870	Current Training Data Per Class 1: 85
Train Episode: 47	Loss: 0.494376	Accuracy: 0.860	Current Training Data Per Class 1: 58
Train Episode: 48	Loss: 0.504468	Accuracy: 0.850	Current Training Data Per Class 1: 64
Train Episode: 49	Loss: 0.492770	Accuracy: 0.860	Current Training Data Per Class 1: 81
Train Episode: 50	Loss: 0.470506	Accuracy: 0.860	Current Training Data Per Class 1: 88
