Runner Episode: 1	Loss: 3.762881	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 2	Loss: 4.047318	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 3	Loss: 3.661148	Accuracy: 0.190 	 Current Training Data Per Class: 0
Runner Episode: 4	Loss: 3.939277	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 5	Loss: 3.872040	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 6	Loss: 4.005289	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 7	Loss: 3.832005	Accuracy: 0.040 	 Current Training Data Per Class: 0
Runner Episode: 8	Loss: 3.867549	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 9	Loss: 3.924725	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 10	Loss: 3.948900	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 11	Loss: 3.861607	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 12	Loss: 3.876482	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 13	Loss: 3.815219	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 14	Loss: 3.802100	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 15	Loss: 3.858488	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 16	Loss: 3.914802	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 17	Loss: 3.918911	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 18	Loss: 3.973691	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 19	Loss: 3.918828	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 20	Loss: 3.846421	Accuracy: 0.120 	 Current Training Data Per Class: 0
