Runner Episode: 1	Loss: 1.800745	Accuracy: 0.260 	 Current Training Data Per Class: 20
Runner Episode: 2	Loss: 3.434472	Accuracy: 0.200 	 Current Training Data Per Class: 20
Runner Episode: 3	Loss: 1.492547	Accuracy: 0.300 	 Current Training Data Per Class: 20
Runner Episode: 4	Loss: 1.929847	Accuracy: 0.200 	 Current Training Data Per Class: 20
Runner Episode: 5	Loss: 4.297533	Accuracy: 0.400 	 Current Training Data Per Class: 20
Runner Episode: 6	Loss: 2.768069	Accuracy: 0.200 	 Current Training Data Per Class: 20
Runner Episode: 7	Loss: 2.554463	Accuracy: 0.200 	 Current Training Data Per Class: 20
Runner Episode: 8	Loss: 2.975996	Accuracy: 0.200 	 Current Training Data Per Class: 20
Runner Episode: 9	Loss: 2.556242	Accuracy: 0.200 	 Current Training Data Per Class: 20
Runner Episode: 10	Loss: 3.927528	Accuracy: 0.200 	 Current Training Data Per Class: 20
Runner Episode: 11	Loss: 1.963964	Accuracy: 0.200 	 Current Training Data Per Class: 20
Runner Episode: 12	Loss: 3.312745	Accuracy: 0.200 	 Current Training Data Per Class: 20
Runner Episode: 13	Loss: 1.421721	Accuracy: 0.400 	 Current Training Data Per Class: 20
Runner Episode: 14	Loss: 2.599914	Accuracy: 0.200 	 Current Training Data Per Class: 20
Runner Episode: 15	Loss: 1.926083	Accuracy: 0.210 	 Current Training Data Per Class: 20
Runner Episode: 16	Loss: 2.477965	Accuracy: 0.200 	 Current Training Data Per Class: 20
Runner Episode: 17	Loss: 2.123958	Accuracy: 0.400 	 Current Training Data Per Class: 20
Runner Episode: 18	Loss: 4.020991	Accuracy: 0.200 	 Current Training Data Per Class: 20
Runner Episode: 19	Loss: 2.449246	Accuracy: 0.200 	 Current Training Data Per Class: 20
Runner Episode: 20	Loss: 1.890221	Accuracy: 0.190 	 Current Training Data Per Class: 20
