Runner Episode: 1	Loss: 1.957794	Accuracy: 0.220 	 Current Training Data Per Class: 30
Runner Episode: 2	Loss: 2.136395	Accuracy: 0.200 	 Current Training Data Per Class: 30
Runner Episode: 3	Loss: 1.781562	Accuracy: 0.210 	 Current Training Data Per Class: 30
Runner Episode: 4	Loss: 2.061345	Accuracy: 0.200 	 Current Training Data Per Class: 30
Runner Episode: 5	Loss: 2.627092	Accuracy: 0.200 	 Current Training Data Per Class: 30
Runner Episode: 6	Loss: 1.718630	Accuracy: 0.200 	 Current Training Data Per Class: 30
Runner Episode: 7	Loss: 1.783466	Accuracy: 0.200 	 Current Training Data Per Class: 30
Runner Episode: 8	Loss: 1.780247	Accuracy: 0.200 	 Current Training Data Per Class: 30
Runner Episode: 9	Loss: 1.836738	Accuracy: 0.200 	 Current Training Data Per Class: 30
Runner Episode: 10	Loss: 1.671494	Accuracy: 0.400 	 Current Training Data Per Class: 30
Runner Episode: 11	Loss: 2.081232	Accuracy: 0.190 	 Current Training Data Per Class: 30
Runner Episode: 12	Loss: 1.764920	Accuracy: 0.200 	 Current Training Data Per Class: 30
Runner Episode: 13	Loss: 1.986428	Accuracy: 0.250 	 Current Training Data Per Class: 30
Runner Episode: 14	Loss: 1.834879	Accuracy: 0.210 	 Current Training Data Per Class: 30
Runner Episode: 15	Loss: 2.085225	Accuracy: 0.210 	 Current Training Data Per Class: 30
Runner Episode: 16	Loss: 0.899162	Accuracy: 0.610 	 Current Training Data Per Class: 30
Runner Episode: 17	Loss: 1.479182	Accuracy: 0.510 	 Current Training Data Per Class: 30
Runner Episode: 18	Loss: 2.000474	Accuracy: 0.200 	 Current Training Data Per Class: 30
Runner Episode: 19	Loss: 1.989807	Accuracy: 0.270 	 Current Training Data Per Class: 30
Runner Episode: 20	Loss: 1.820644	Accuracy: 0.230 	 Current Training Data Per Class: 30
