Runner Episode: 1	Loss: 2.093974	Accuracy: 0.230 	 Current Training Data Per Class: 5
Runner Episode: 2	Loss: 2.441092	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 3	Loss: 1.761195	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 4	Loss: 2.480416	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 5	Loss: 1.826307	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 6	Loss: 2.555959	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 7	Loss: 2.175553	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 8	Loss: 2.511986	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 9	Loss: 2.200307	Accuracy: 0.180 	 Current Training Data Per Class: 5
Runner Episode: 10	Loss: 2.227749	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 11	Loss: 2.311698	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 12	Loss: 2.417309	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 13	Loss: 1.807927	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 14	Loss: 2.176965	Accuracy: 0.190 	 Current Training Data Per Class: 5
Runner Episode: 15	Loss: 2.131523	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 16	Loss: 2.397727	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 17	Loss: 2.224535	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 18	Loss: 2.148783	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 19	Loss: 2.464014	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 20	Loss: 2.538219	Accuracy: 0.200 	 Current Training Data Per Class: 5
