Runner Episode: 1	Loss: 1.334523	Accuracy: 0.400 	 Current Training Data Per Class: 10
Runner Episode: 2	Loss: 2.104155	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 3	Loss: 2.153597	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 4	Loss: 1.881428	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 5	Loss: 1.521780	Accuracy: 0.400 	 Current Training Data Per Class: 10
Runner Episode: 6	Loss: 2.292140	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 7	Loss: 2.232840	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 8	Loss: 2.053878	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 9	Loss: 2.277082	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 10	Loss: 2.212127	Accuracy: 0.310 	 Current Training Data Per Class: 10
Runner Episode: 11	Loss: 2.221605	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 12	Loss: 1.702698	Accuracy: 0.400 	 Current Training Data Per Class: 10
Runner Episode: 13	Loss: 2.510169	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 14	Loss: 1.891333	Accuracy: 0.350 	 Current Training Data Per Class: 10
Runner Episode: 15	Loss: 2.026712	Accuracy: 0.210 	 Current Training Data Per Class: 10
Runner Episode: 16	Loss: 1.870029	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 17	Loss: 2.302959	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 18	Loss: 1.402908	Accuracy: 0.400 	 Current Training Data Per Class: 10
Runner Episode: 19	Loss: 2.208274	Accuracy: 0.370 	 Current Training Data Per Class: 10
Runner Episode: 20	Loss: 2.075692	Accuracy: 0.200 	 Current Training Data Per Class: 10
