Runner Episode: 1	Loss: 1.867903	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 2	Loss: 2.734363	Accuracy: 0.110 	 Current Training Data Per Class: 5
Runner Episode: 3	Loss: 2.239889	Accuracy: 0.210 	 Current Training Data Per Class: 5
Runner Episode: 4	Loss: 2.852391	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 5	Loss: 2.372017	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 6	Loss: 2.396790	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 7	Loss: 2.948225	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 8	Loss: 2.578690	Accuracy: 0.100 	 Current Training Data Per Class: 5
Runner Episode: 9	Loss: 2.423273	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 10	Loss: 2.911891	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 11	Loss: 2.249417	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 12	Loss: 2.313868	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 13	Loss: 2.668124	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 14	Loss: 2.806100	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 15	Loss: 2.469808	Accuracy: 0.190 	 Current Training Data Per Class: 5
Runner Episode: 16	Loss: 2.283420	Accuracy: 0.550 	 Current Training Data Per Class: 5
Runner Episode: 17	Loss: 2.606402	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 18	Loss: 1.725310	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 19	Loss: 2.336604	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 20	Loss: 2.535806	Accuracy: 0.200 	 Current Training Data Per Class: 5
